App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,2,0.090180,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,3,0.172752,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,4,1.063011,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,5,1.098698,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,6,1.204121,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,7,1.983129,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,8,2.234771,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,9,3.002352,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,10,3.092594,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,11,3.174032,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,12,4.065996,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,13,4.101842,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,14,4.249957,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,15,4.314891,172.30.1.250,172.30.1.1,DNS,232
Call of Duty,16,4.315546,172.30.1.250,172.30.1.1,DNS,188
Call of Duty,17,4.315833,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,18,4.316046,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,19,4.318159,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,20,4.321871,172.30.1.1,172.30.1.250,TCP,236
Call of Duty,21,4.322267,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,22,4.477786,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,23,4.478275,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,24,4.478527,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,25,4.478855,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,26,4.482098,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,27,4.482473,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,28,4.486447,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,29,4.486644,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,30,4.582879,172.30.1.250,172.30.1.1,TLSv1.3,2760
Call of Duty,31,4.583504,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,32,4.591510,172.30.1.250,172.30.1.1,TLSv1.3,3784
Call of Duty,33,4.591698,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,34,4.616811,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,35,4.617035,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,36,4.618975,172.30.1.1,172.30.1.250,TLSv1.3,420
Call of Duty,37,4.619099,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,38,4.640377,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,39,4.651537,172.30.1.250,172.30.1.1,TLSv1.3,692
Call of Duty,40,4.681936,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,41,4.694126,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,42,4.802056,172.30.1.250,172.30.1.1,TCP,232
Call of Duty,43,4.802466,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,44,4.823369,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,45,4.823439,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,46,4.823604,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,47,4.939832,172.30.1.250,172.30.1.1,TLSv1.3,948
Call of Duty,48,4.940260,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,49,4.985299,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,50,5.042907,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,51,5.046744,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,52,5.074173,172.30.1.250,172.30.1.1,TCP,264
Call of Duty,53,5.117782,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,54,5.152439,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,55,5.152569,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,56,5.153510,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,57,5.153768,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,58,5.195531,172.30.1.250,172.30.1.1,TCP,264
Call of Duty,59,5.195794,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,60,5.253270,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,61,5.272174,172.30.1.250,172.30.1.1,TLSv1.2,2768
Call of Duty,62,5.273198,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,63,5.274939,172.30.1.250,172.30.1.1,TLSv1.2,1856
Call of Duty,64,5.275321,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,65,5.278076,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,66,5.278224,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,67,5.365159,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,68,5.365367,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,69,5.374606,172.30.1.1,172.30.1.250,TCP,236
Call of Duty,70,5.374938,172.30.1.250,172.30.1.1,TLSv1.2,376
Call of Duty,71,5.377149,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,72,5.377255,172.30.1.1,172.30.1.250,TLSv1.2,2456
Call of Duty,73,5.377350,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,74,5.515236,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,75,5.517390,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,76,5.517720,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,77,5.517738,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,78,5.517796,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,79,5.517840,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,80,5.517870,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,81,5.518644,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,82,5.518781,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,83,5.521710,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,84,5.647556,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,85,5.647736,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,86,5.647905,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,87,5.650601,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,88,5.650892,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,89,5.690040,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,90,5.834358,172.30.1.250,172.30.1.1,TCP,232
Call of Duty,91,5.834652,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,92,5.834908,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,93,5.834921,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,94,5.837586,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,95,5.837820,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,96,5.838180,172.30.1.1,172.30.1.250,TLSv1.2,1712
Call of Duty,97,5.838291,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,98,5.896439,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,99,5.896485,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,100,5.896634,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,101,5.896941,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,102,5.899614,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,103,5.899785,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,104,5.957268,172.30.1.1,172.30.1.250,DNS,120
Call of Duty,105,5.973376,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,106,5.973575,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,107,5.976009,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,108,5.976019,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,109,5.976080,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,110,5.976085,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,111,5.977311,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,112,6.015104,172.30.1.250,172.30.1.1,TCP,664
Call of Duty,113,6.015335,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,114,6.076907,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,115,6.077440,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,116,6.082478,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,117,6.083108,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,118,6.085043,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,119,6.091144,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,120,6.096436,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,121,6.151104,172.30.1.1,172.30.1.250,DNS,144
Call of Duty,122,6.152241,172.30.1.1,172.30.1.250,DNS,144
Call of Duty,123,6.315451,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,124,6.316270,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,125,6.316479,172.30.1.250,172.30.1.1,DNS,132
Call of Duty,126,6.317006,172.30.1.250,172.30.1.1,DNS,316
Call of Duty,127,6.317215,172.30.1.250,172.30.1.1,DNS,260
Call of Duty,128,6.317475,172.30.1.1,172.30.1.250,TCP,88
