timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-11-12T08:51:18.536359,1,1,1,0,0,0.00,0.02,0.51,227,1187
2025-11-12T08:51:18.537270,1,1,1,0,0,0.00,0.00,0.00,30,310
2025-11-12T08:51:18.537872,1,1,1,0,0,0.00,0.00,0.00,35,320
2025-11-12T08:51:18.538879,1,1,1,0,0,0.00,0.00,0.00,35,340
2025-11-12T08:51:18.539919,1,1,1,0,0,0.00,0.02,0.51,40,772
2025-11-12T08:51:18.567248,1,1,1,0,0,0.00,0.00,0.00,35,340
2025-11-12T08:51:18.567977,1,1,1,0,0,0.00,0.00,0.00,30,340
2025-11-12T08:51:18.568682,1,1,1,0,0,0.00,0.00,0.00,35,345
2025-11-12T08:51:18.569695,1,1,1,0,0,0.00,0.00,0.00,30,280
2025-11-12T08:51:18.570349,1,1,1,0,0,0.00,0.00,0.00,30,310
2025-11-12T08:51:18.570974,1,1,1,0,0,0.00,0.00,0.00,15,160
2025-11-12T08:51:18.572250,1,1,1,0,0,0.00,0.00,0.00,15,120
2025-11-12T08:51:18.572582,2,2,2,0,0,0.00,0.02,0.51,213,1071
2025-11-12T08:51:18.573403,1,1,1,0,0,0.00,0.00,0.00,15,145
2025-11-12T08:51:18.573903,2,2,2,0,0,0.00,0.00,0.00,15,145
2025-11-12T08:51:18.619856,1,1,1,0,0,0.00,0.00,0.00,10,140
2025-11-12T08:51:18.620247,2,2,2,0,0,0.00,0.00,0.00,10,140
2025-11-12T08:51:18.621080,1,1,1,0,0,0.00,0.02,0.51,25,564
2025-11-12T08:51:18.622054,2,2,2,0,0,0.00,0.00,0.00,20,160
2025-11-12T08:51:18.622841,1,1,1,0,0,0.00,0.00,0.00,15,160
2025-11-12T08:51:18.623166,2,2,2,0,0,0.00,0.02,0.51,20,590
2025-11-12T08:51:18.623863,1,1,1,0,0,0.00,0.00,0.00,15,165
2025-11-12T08:51:18.624139,2,2,2,0,0,0.00,0.00,0.00,15,165
2025-11-12T08:51:18.625113,1,1,1,0,0,0.00,0.00,0.00,15,160
2025-11-12T08:51:18.625557,2,2,2,0,0,0.00,0.00,0.00,15,160
2025-11-12T08:51:18.628221,1,1,1,0,0,0.00,0.00,0.00,15,145
2025-11-12T08:51:18.628784,2,2,2,0,0,0.00,0.00,0.00,15,140
2025-11-12T08:51:18.629855,1,1,1,0,0,0.00,0.00,0.00,15,140
2025-11-12T08:51:18.630196,2,2,2,0,0,0.00,0.00,0.00,15,140
2025-11-12T08:51:18.631112,1,1,1,0,0,0.00,0.00,0.00,10,110
2025-11-12T08:51:18.631792,2,2,2,0,0,0.00,0.00,0.00,10,115
2025-11-12T08:51:18.632362,1,1,1,0,0,0.00,0.00,0.00,10,85
2025-11-12T08:51:18.632601,2,2,2,0,0,0.00,0.00,0.00,10,85
2025-11-12T08:51:18.632927,3,3,3,0,0,0.00,0.02,0.51,203,1018
2025-11-12T08:51:18.669379,1,1,1,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.669687,2,2,2,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.669994,3,3,3,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.671135,1,1,1,0,0,0.00,0.00,0.00,10,90
2025-11-12T08:51:18.671479,2,2,2,0,0,0.00,0.00,0.40,10,427
2025-11-12T08:51:18.671795,3,3,3,0,0,0.00,0.00,0.00,10,90
2025-11-12T08:51:18.672949,1,1,1,0,0,0.00,0.00,0.00,5,90
2025-11-12T08:51:18.673459,2,2,2,0,0,0.00,0.02,0.11,10,172
2025-11-12T08:51:18.673828,3,3,3,0,0,0.00,0.00,0.00,10,90
2025-11-12T08:51:18.718551,1,1,1,0,0,0.00,0.00,0.00,10,90
2025-11-12T08:51:18.719214,2,2,2,0,0,0.00,0.00,0.00,10,90
2025-11-12T08:51:18.719994,3,3,3,0,0,0.00,0.00,0.40,10,478
2025-11-12T08:51:18.721356,1,1,1,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.722056,2,2,2,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.722424,3,3,3,0,0,0.00,0.02,0.11,10,192
2025-11-12T08:51:18.723519,1,1,1,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.723819,2,2,2,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.724129,3,3,3,0,0,0.00,0.00,0.00,10,100
2025-11-12T08:51:18.724983,1,1,1,0,0,0.00,0.00,0.00,10,95
2025-11-12T08:51:18.725316,2,2,2,0,0,0.00,0.00,0.00,10,90
