timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-27T09:34:17.974292,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.974743,gNB-DU,,1,1,,,0.00,0.05,1.02,501,4376
2025-10-27T09:34:17.975024,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.975378,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-27T09:34:17.975579,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.975921,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:17.985247,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.985726,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:17.985999,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.986303,gNB-DU,,1,1,,,0.00,0.02,0.51,40,832
2025-10-27T09:34:17.986520,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.986849,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:17.987106,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.987451,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:17.987681,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.988064,gNB-DU,,1,1,,,0.00,0.00,0.00,35,350
2025-10-27T09:34:17.988289,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.988612,gNB-DU,,1,1,,,0.00,0.00,0.00,30,340
2025-10-27T09:34:17.988833,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.989169,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:17.989401,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.989776,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:17.990050,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.990335,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-27T09:34:17.990568,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.990851,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:17.991068,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.991406,gNB-DU,,1,1,,,0.00,0.00,0.00,35,355
2025-10-27T09:34:17.991677,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.992039,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:17.992284,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.992625,gNB-DU,,1,1,,,0.00,0.00,0.00,30,340
2025-10-27T09:34:17.992837,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.993171,gNB-DU,,1,1,,,0.00,0.00,0.00,30,300
2025-10-27T09:34:17.993332,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.993791,gNB-DU,,1,1,,,0.00,0.00,0.00,35,310
2025-10-27T09:34:17.994009,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.994383,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:17.994627,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.994987,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T09:34:17.995233,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.995564,gNB-DU,,1,1,,,0.00,0.02,0.51,40,762
2025-10-27T09:34:17.995806,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.996149,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:17.996374,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.996659,gNB-DU,,1,1,,,0.00,0.00,0.00,30,345
2025-10-27T09:34:17.996853,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.997178,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:17.997417,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.997735,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:17.997948,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.998272,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:17.998485,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.998775,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:17.998956,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.999253,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:17.999516,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:17.999848,gNB-DU,,1,1,,,0.00,0.00,0.00,30,345
2025-10-27T09:34:18.000079,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.000375,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.000555,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.000901,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.001087,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.001447,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.001713,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.073305,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.073610,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.074036,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.074307,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.074608,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.074769,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.085072,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.085337,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.085685,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.085943,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.086317,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.086539,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.086835,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.087086,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.087446,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.087707,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.088002,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.088199,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.088554,gNB-DU,,1,1,,,0.00,0.00,0.00,35,345
2025-10-27T09:34:18.088786,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.089102,gNB-DU,,1,1,,,0.00,0.00,0.00,35,320
2025-10-27T09:34:18.089270,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.089580,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.089830,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.090284,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.090537,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.090886,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
