timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2026-03-20T13:21:24.818030,1,1,1,1,3,0.00,1.61,4.05,1246,12673
2026-03-20T13:21:24.818377,2,2,2,1,3,0.00,1.61,4.13,897,9774
2026-03-20T13:21:24.818688,3,3,3,1,2,0.00,3.02,3.54,693,5720
2026-03-20T13:21:24.819010,4,4,4,1,2,0.00,1.58,3.62,568,5890
2026-03-20T13:21:24.819357,5,5,5,1,2,0.00,3.00,3.10,428,3551
2026-03-20T13:21:24.894091,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.894400,2,2,2,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.894915,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.895228,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.895710,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.896949,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.897394,2,2,2,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.897681,3,3,3,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.897978,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.898475,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.899504,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.900399,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.900688,3,3,3,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.901154,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.901511,5,5,5,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.903058,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.903289,2,2,2,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.903771,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.904008,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.904480,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.905716,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.905935,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.906473,3,3,3,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.907169,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.907457,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.908849,1,1,1,0,0,0.00,0.00,0.00,5,60
2026-03-20T13:21:24.909098,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.909363,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.909718,4,4,4,0,0,0.00,0.00,0.00,5,60
2026-03-20T13:21:24.909958,5,5,5,0,0,0.00,0.00,0.00,5,60
2026-03-20T13:21:24.911285,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.911513,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.911736,3,3,3,0,0,0.00,0.00,0.00,5,60
2026-03-20T13:21:24.911942,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.912155,5,5,5,0,0,0.00,0.00,0.00,10,55
2026-03-20T13:21:24.913785,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.914011,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.914332,3,3,3,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.914612,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.914848,5,5,5,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.916675,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.916931,2,2,2,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.917222,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.970759,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.971098,5,5,5,0,0,0.00,0.02,0.51,10,473
2026-03-20T13:21:24.995046,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.995260,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.995475,3,3,3,0,0,0.00,0.00,0.40,5,518
2026-03-20T13:21:24.995689,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.995899,5,5,5,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.997055,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.997305,2,2,2,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.997581,3,3,3,0,0,0.00,0.02,0.11,10,87
2026-03-20T13:21:24.997802,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.998036,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.999176,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:24.999349,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.999563,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:24.999817,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.000061,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.001111,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.001346,2,2,2,0,0,0.00,0.00,0.00,10,50
2026-03-20T13:21:25.001629,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.001881,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.002104,5,5,5,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.003253,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.003501,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.003818,3,3,3,0,0,0.00,0.00,0.00,10,50
2026-03-20T13:21:25.004084,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.004451,5,5,5,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.006127,1,1,1,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.007054,2,2,2,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.007640,3,3,3,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.007988,4,4,4,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.008637,5,5,5,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.010939,1,1,1,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.011246,2,2,2,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.011577,3,3,3,0,0,0.00,0.00,0.00,5,50
2026-03-20T13:21:25.012171,4,4,4,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.012596,5,5,5,0,0,0.00,0.00,0.00,5,55
2026-03-20T13:21:25.013792,1,1,1,0,0,0.00,0.00,0.00,10,50
