INFO:root:✔ XGBoost model loaded
Waiting for xApp connection on port 4400
xApp connected: 10.244.0.190:47694
INFO:root:✔ XChain listening on socket 4400
 * Serving Flask app 'xchain_model'
 * Debug mode: off
[12:09:46] WARNING: /workspace/src/learner.cc:790: 
Parameters: { "approx_kernel", "predictor" } are not used.

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=6.220ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=6.222ms

INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.244.0.191:5001
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.162ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.165ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.893ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.896ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.135ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.139ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.938ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.941ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.227ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.229ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.048ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.051ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.093ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.096ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.131ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.134ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.431ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.434ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.995ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.999ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.857ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.860ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.954ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.958ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.460ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.463ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.837ms | Probs=[0.23008814 0.28662732 0.4832845 ] | End2end=1.839ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.158ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.161ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.550ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.553ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.606ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.611ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=3.064ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=3.068ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=3.160ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=3.164ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.943ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.946ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.558ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.561ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=3.094ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=3.098ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.300ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.304ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.813ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.817ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.137ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.140ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.644ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.647ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.753ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.756ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.399ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.402ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.869ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.872ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.881ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.884ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.085ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.088ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.646ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.648ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.881ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.884ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.231ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.234ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.730ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.734ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.072ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.076ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.094ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.099ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.335ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.338ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.959ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.961ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.966ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.969ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.973ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.975ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.864ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.867ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.077ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.080ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.093ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.096ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.261ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.264ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.936ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.939ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.610ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.613ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.721ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.724ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.127ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.129ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.984ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.987ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.868ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.871ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.853ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.857ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.903ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.906ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.047ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.050ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.883ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.885ms

