App Name,No.,Time,Source,Destination,Protocol,Length
Call of Duty,1,0.000000,172.30.1.1,172.30.1.250,DNS,112
Call of Duty,2,0.009234,172.30.1.250,172.30.1.1,DNS,152
Call of Duty,3,0.011606,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,4,0.025055,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,5,0.025244,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,6,0.030905,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,7,0.031218,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,8,0.044546,172.30.1.250,172.30.1.1,TLSv1.3,2848
Call of Duty,9,0.045018,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,10,0.045058,172.30.1.250,172.30.1.1,TLSv1.3,580
Call of Duty,11,0.045120,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,12,0.064899,172.30.1.1,172.30.1.250,TLSv1.3,152
Call of Duty,13,0.065391,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,14,0.067405,172.30.1.1,172.30.1.250,TLSv1.3,3832
Call of Duty,15,0.067613,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,16,0.067715,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,17,0.067771,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,18,0.070928,172.30.1.250,172.30.1.1,TLSv1.3,264
Call of Duty,19,0.071028,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,20,0.071048,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,21,1.439022,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,22,1.465108,172.30.1.250,172.30.1.1,DNS,180
Call of Duty,23,1.471243,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,24,1.490470,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,25,1.513056,172.30.1.250,172.30.1.1,DNS,132
Call of Duty,26,1.524758,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,27,1.553384,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,28,1.553737,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,29,1.557901,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,30,1.558297,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,31,1.607631,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,32,1.607851,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,33,1.609127,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,34,1.609647,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,35,1.609784,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,36,1.614537,172.30.1.1,172.30.1.250,DNS,128
Call of Duty,37,1.628498,172.30.1.250,172.30.1.1,DNS,144
Call of Duty,38,1.631094,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,39,1.641073,172.30.1.250,172.30.1.1,TLSv1.2,1520
Call of Duty,40,1.641664,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,41,1.643171,172.30.1.250,172.30.1.1,TCP,1520
Call of Duty,42,1.643279,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,43,1.644845,172.30.1.250,172.30.1.1,TLSv1.2,1672
Call of Duty,44,1.647002,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,45,1.655579,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,46,1.655727,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,47,1.700485,172.30.1.250,172.30.1.1,TLSv1.2,3536
Call of Duty,48,1.701054,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,49,1.717619,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,50,1.717822,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,51,1.718597,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,52,1.718744,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,53,1.738586,172.30.1.250,172.30.1.1,TLSv1.2,376
Call of Duty,54,1.740592,172.30.1.1,172.30.1.250,TLSv1.2,576
Call of Duty,55,1.740718,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,56,1.786324,172.30.1.1,172.30.1.250,TLSv1.2,212
Call of Duty,57,1.786409,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,58,1.807506,172.30.1.250,172.30.1.1,TLSv1.2,3544
Call of Duty,59,1.807925,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,60,1.808644,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,61,1.808752,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,62,1.826817,172.30.1.250,172.30.1.1,TCP,1520
Call of Duty,63,1.828863,172.30.1.250,172.30.1.1,TLSv1.2,296
Call of Duty,64,1.829051,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,65,1.829070,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,66,1.829536,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,67,1.829544,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,68,1.829630,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,69,1.829635,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,70,1.832127,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,71,1.859309,172.30.1.250,172.30.1.1,DNS,140
Call of Duty,72,1.864364,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,73,1.877020,172.30.1.250,172.30.1.1,TLSv1.2,140
Call of Duty,74,1.877104,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,75,1.877491,172.30.1.1,172.30.1.250,TLSv1.2,784
Call of Duty,76,1.877544,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,77,1.896927,172.30.1.250,172.30.1.1,TLSv1.2,392
Call of Duty,78,1.897816,172.30.1.1,172.30.1.250,TLSv1.2,1216
Call of Duty,79,1.897889,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,80,1.920970,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,81,1.921079,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,82,1.922074,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,83,1.922216,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,84,1.964980,172.30.1.250,172.30.1.1,TLSv1.2,440
Call of Duty,85,1.965114,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,86,1.965469,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,87,1.965475,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,88,1.965559,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,89,1.965562,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,90,2.043940,172.30.1.250,172.30.1.1,TLSv1.2,880
Call of Duty,91,2.048980,172.30.1.250,172.30.1.1,TLSv1.2,4536
Call of Duty,92,2.049501,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,93,2.052326,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,94,2.052436,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,95,2.084902,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,96,2.121033,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,97,2.121140,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,98,2.122643,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,99,2.122798,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,100,2.133063,172.30.1.250,172.30.1.1,TLSv1.2,376
Call of Duty,101,2.135369,172.30.1.1,172.30.1.250,TLSv1.2,2336
Call of Duty,102,2.135539,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,103,2.237070,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,104,2.237149,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,105,2.238068,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,106,2.238074,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,107,2.238301,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,108,2.238305,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,109,2.241388,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,110,2.329025,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,111,2.329230,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,112,2.331299,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,113,2.331750,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,114,2.381097,172.30.1.250,172.30.1.1,TLSv1.2,3520
Call of Duty,115,2.381662,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,116,2.384530,172.30.1.1,172.30.1.250,TLSv1.2,180
Call of Duty,117,2.384654,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,118,2.420832,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,119,2.423308,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,120,2.423322,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,121,2.423393,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,122,2.423442,172.30.1.1,172.30.1.250,TLSv1.2,2168
Call of Duty,123,2.423494,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,124,2.516014,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,125,2.516160,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,126,2.516710,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,127,2.516716,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,128,2.516986,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,129,2.516990,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,130,2.633065,172.30.1.250,172.30.1.1,TLSv1.2,376
Call of Duty,131,2.634951,172.30.1.1,172.30.1.250,TLSv1.2,2540
Call of Duty,132,2.635055,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,133,3.024946,172.30.1.250,172.30.1.1,TLSv1.2,1388
Call of Duty,134,3.069071,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,135,5.186443,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,136,5.209057,172.30.1.1,172.30.1.250,DNS,116
Call of Duty,137,5.212775,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,138,5.217959,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,139,5.243058,172.30.1.250,172.30.1.1,DNS,132
Call of Duty,140,5.263578,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,141,5.264251,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,142,5.265794,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,143,5.266356,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,144,5.277354,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,145,5.289424,172.30.1.250,172.30.1.1,TLSv1.3,3708
Call of Duty,146,5.289695,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,147,5.577008,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,148,7.526225,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,149,7.610622,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,150,7.612065,172.30.1.1,172.30.1.250,DNS,124
Call of Duty,151,7.616431,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,152,7.616852,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,153,7.617468,172.30.1.1,172.30.1.250,TLSv1.2,604
Call of Duty,154,7.618312,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,155,7.625767,172.30.1.250,172.30.1.1,DNS,216
Call of Duty,156,7.627544,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,157,7.628895,172.30.1.250,172.30.1.1,DNS,212
Call of Duty,158,7.630372,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,159,7.642567,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,160,7.642684,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,161,7.643462,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,162,7.643600,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,163,7.644879,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,164,7.645005,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,165,7.645551,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,166,7.645701,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,167,7.654207,172.30.1.250,172.30.1.1,TLSv1.3,1536
Call of Duty,168,7.654357,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,169,7.656209,172.30.1.250,172.30.1.1,TLSv1.3,2260
Call of Duty,170,7.656260,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,171,7.656272,172.30.1.250,172.30.1.1,TLSv1.3,3708
Call of Duty,172,7.656361,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,173,7.657412,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,174,7.657503,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,175,7.657529,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,176,7.657554,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,177,7.657833,172.30.1.1,172.30.1.250,TLSv1.3,2432
Call of Duty,178,7.657886,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,179,7.657910,172.30.1.1,172.30.1.250,TLSv1.3,2256
Call of Duty,180,7.657943,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,181,7.664872,172.30.1.250,172.30.1.1,TLSv1.3,692
Call of Duty,182,7.664922,172.30.1.250,172.30.1.1,TLSv1.3,692
Call of Duty,183,7.708962,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,184,7.708983,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,185,7.709011,172.30.1.250,172.30.1.1,TLSv1.2,244
Call of Duty,186,7.710615,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,187,7.710628,172.30.1.1,172.30.1.250,TLSv1.2,140
Call of Duty,188,7.710692,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,189,7.710745,172.30.1.1,172.30.1.250,TLSv1.2,1988
Call of Duty,190,7.710809,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,191,7.738298,172.30.1.250,172.30.1.1,TLSv1.3,312
Call of Duty,192,7.738440,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,193,7.738598,172.30.1.250,172.30.1.1,TLSv1.3,312
Call of Duty,194,7.738681,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,195,7.754259,172.30.1.1,172.30.1.250,DNS,140
Call of Duty,196,7.756137,172.30.1.1,172.30.1.250,DNS,140
Call of Duty,197,7.797060,172.30.1.250,172.30.1.1,TLSv1.2,588
Call of Duty,198,7.800126,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,199,7.800142,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,200,7.800255,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,201,7.800333,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,202,7.952952,172.30.1.250,172.30.1.1,DNS,256
Call of Duty,203,8.101460,172.30.1.250,172.30.1.1,DNS,312
Call of Duty,204,8.243647,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,205,8.321174,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,206,8.325463,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,207,8.325725,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,208,8.326763,172.30.1.1,172.30.1.250,TCP,236
Call of Duty,209,8.327232,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,210,8.413246,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,211,8.413668,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,212,8.419040,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,213,8.419196,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,214,8.501311,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,215,8.549103,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,216,8.639294,172.30.1.250,172.30.1.1,TCP,232
Call of Duty,217,8.639626,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,218,8.657647,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,219,8.657913,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,220,8.751062,172.30.1.250,172.30.1.1,TCP,264
Call of Duty,221,8.755635,172.30.1.1,172.30.1.250,DNS,108
Call of Duty,222,8.793144,172.30.1.250,172.30.1.1,DNS,204
Call of Duty,223,8.798223,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,224,8.799673,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,225,8.817463,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,226,8.817861,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,227,8.820885,172.30.1.1,172.30.1.250,TLSv1.3,604
Call of Duty,228,8.821561,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,229,8.835729,172.30.1.250,172.30.1.1,TLSv1.3,1536
Call of Duty,230,8.836155,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,231,8.836958,172.30.1.250,172.30.1.1,TCP,2736
Call of Duty,232,8.837122,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,233,8.841836,172.30.1.1,172.30.1.250,TCP,164
Call of Duty,234,8.841875,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,235,8.842044,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,236,8.842316,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,237,8.849154,172.30.1.250,172.30.1.1,TLSv1.3,1040
Call of Duty,238,8.849357,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,239,8.853349,172.30.1.1,172.30.1.250,TLSv1.3,168
Call of Duty,240,8.853550,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,241,8.854877,172.30.1.1,172.30.1.250,TLSv1.3,316
Call of Duty,242,8.855012,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,243,8.877215,172.30.1.250,172.30.1.1,TLSv1.3,660
Call of Duty,244,8.882839,172.30.1.1,172.30.1.250,TCP,108
Call of Duty,245,8.886901,172.30.1.250,172.30.1.1,TLSv1.3,2188
Call of Duty,246,8.887112,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,247,8.898292,172.30.1.1,172.30.1.250,TLSv1.3,316
Call of Duty,248,8.898520,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,249,8.905127,172.30.1.250,172.30.1.1,TLSv1.3,944
Call of Duty,250,8.906278,172.30.1.250,172.30.1.1,TLSv1.3,1500
Call of Duty,251,8.906599,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,252,8.964777,172.30.1.250,172.30.1.1,TCP,96
Call of Duty,253,8.965611,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,254,8.973304,172.30.1.1,172.30.1.250,TCP,236
Call of Duty,255,8.973583,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,256,9.025309,172.30.1.1,172.30.1.250,TLSv1.3,896
Call of Duty,257,9.025619,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,258,9.045458,172.30.1.250,172.30.1.1,TLSv1.3,692
Call of Duty,259,9.055916,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,260,9.056318,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,261,9.066708,172.30.1.1,172.30.1.250,TCP,228
Call of Duty,262,9.067403,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,263,9.093225,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,264,9.143861,172.30.1.250,172.30.1.1,TLSv1.3,236
Call of Duty,265,9.144206,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,266,9.146894,172.30.1.1,172.30.1.250,TLSv1.2,120
Call of Duty,267,9.147130,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,268,9.147293,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,269,9.147414,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,270,9.152974,172.30.1.250,172.30.1.1,TCP,212
Call of Duty,271,9.197259,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,272,9.254887,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,273,9.301387,172.30.1.250,172.30.1.1,TCP,232
Call of Duty,274,9.302703,172.30.1.1,172.30.1.250,TCP,88
Call of Duty,275,9.388336,172.30.1.1,172.30.1.250,TCP,264
Call of Duty,276,9.388570,172.30.1.250,172.30.1.1,TCP,88
Call of Duty,277,9.486167,172.30.1.250,172.30.1.1,TCP,664
