App Name,No.,Time,Source,Destination,Protocol,Length
Meet,1,0.000000,172.30.1.1,172.30.1.250,UDP,104
Meet,2,0.001525,172.30.1.1,172.30.1.250,UDP,164
Meet,3,0.002212,172.30.1.1,172.30.1.250,STUN,96
Meet,4,0.002982,172.30.1.1,172.30.1.250,STUN,96
Meet,5,0.003310,172.30.1.1,172.30.1.250,UDP,104
Meet,6,0.017623,172.30.1.1,172.30.1.250,UDP,648
Meet,7,0.017714,172.30.1.1,172.30.1.250,UDP,104
Meet,8,0.027889,172.30.1.250,172.30.1.1,UDP,100
Meet,9,0.027987,172.30.1.250,172.30.1.1,UDP,120
Meet,10,0.030798,172.30.1.250,172.30.1.1,UDP,100
Meet,11,0.030872,172.30.1.1,172.30.1.250,UDP,164
Meet,12,0.033281,172.30.1.250,172.30.1.1,STUN,108
Meet,13,0.033315,172.30.1.250,172.30.1.1,STUN,108
Meet,14,0.036221,172.30.1.1,172.30.1.250,UDP,108
Meet,15,0.045899,172.30.1.250,172.30.1.1,UDP,104
Meet,16,0.047095,172.30.1.1,172.30.1.250,UDP,684
Meet,17,0.047222,172.30.1.1,172.30.1.250,UDP,104
Meet,18,0.052049,172.30.1.1,172.30.1.250,STUN,144
Meet,19,0.053671,172.30.1.1,172.30.1.250,TCP,108
Meet,20,0.054442,172.30.1.1,172.30.1.250,STUN,144
Meet,21,0.055564,172.30.1.1,172.30.1.250,TCP,108
Meet,22,0.056226,172.30.1.1,172.30.1.250,DNS,108
Meet,23,0.071688,172.30.1.1,172.30.1.250,UDP,164
Meet,24,0.080347,172.30.1.250,172.30.1.1,UDP,104
Meet,25,0.083499,172.30.1.250,172.30.1.1,STUN,156
Meet,26,0.083642,172.30.1.250,172.30.1.1,STUN,156
Meet,27,0.083780,172.30.1.250,172.30.1.1,TCP,96
Meet,28,0.083855,172.30.1.1,172.30.1.250,TCP,88
Meet,29,0.084097,172.30.1.1,172.30.1.250,STUN,260
Meet,30,0.084378,172.30.1.1,172.30.1.250,STUN,260
Meet,31,0.084609,172.30.1.1,172.30.1.250,STUN,156
Meet,32,0.085011,172.30.1.250,172.30.1.1,TCP,88
Meet,33,0.086689,172.30.1.250,172.30.1.1,DNS,124
Meet,34,0.088413,172.30.1.1,172.30.1.250,UDP,108
Meet,35,0.091094,172.30.1.1,172.30.1.250,TCP,108
Meet,36,0.092305,172.30.1.1,172.30.1.250,TCP,108
Meet,37,0.096851,172.30.1.250,172.30.1.1,TCP,96
Meet,38,0.097115,172.30.1.1,172.30.1.250,TCP,88
Meet,39,0.097370,172.30.1.1,172.30.1.250,STUN,156
Meet,40,0.097553,172.30.1.250,172.30.1.1,TCP,88
Meet,41,0.098479,172.30.1.1,172.30.1.250,STUN,104
Meet,42,0.111037,172.30.1.250,172.30.1.1,TCP,96
Meet,43,0.111288,172.30.1.1,172.30.1.250,TCP,88
Meet,44,0.113137,172.30.1.250,172.30.1.1,STUN,152
Meet,45,0.113279,172.30.1.250,172.30.1.1,TCP,96
Meet,46,0.113397,172.30.1.1,172.30.1.250,TCP,88
Meet,47,0.117278,172.30.1.250,172.30.1.1,STUN,152
Meet,48,0.117374,172.30.1.250,172.30.1.1,STUN,168
Meet,49,0.117547,172.30.1.1,172.30.1.250,TCP,88
Meet,50,0.121416,172.30.1.1,172.30.1.250,TLSv1.3,604
Meet,51,0.121583,172.30.1.1,172.30.1.250,STUN,224
Meet,52,0.121645,172.30.1.1,172.30.1.250,STUN,224
Meet,53,0.121677,172.30.1.1,172.30.1.250,STUN,224
Meet,54,0.121762,172.30.1.250,172.30.1.1,TCP,88
Meet,55,0.125077,172.30.1.1,172.30.1.250,TLSv1.3,604
Meet,56,0.125337,172.30.1.250,172.30.1.1,TCP,88
Meet,57,0.125846,172.30.1.1,172.30.1.250,STUN,272
Meet,58,0.125953,172.30.1.250,172.30.1.1,TCP,88
Meet,59,0.126182,172.30.1.1,172.30.1.250,UDP,164
Meet,60,0.126459,172.30.1.1,172.30.1.250,TCP,88
Meet,61,0.126627,172.30.1.250,172.30.1.1,TCP,88
Meet,62,0.128431,172.30.1.1,172.30.1.250,TCP,88
Meet,63,0.128521,172.30.1.250,172.30.1.1,TCP,88
Meet,64,0.128808,172.30.1.1,172.30.1.250,UDP,120
Meet,65,0.129022,172.30.1.1,172.30.1.250,TCP,88
Meet,66,0.129070,172.30.1.250,172.30.1.1,TCP,88
Meet,67,0.131091,172.30.1.250,172.30.1.1,STUN,168
Meet,68,0.131420,172.30.1.1,172.30.1.250,TCP,88
Meet,69,0.131510,172.30.1.250,172.30.1.1,TCP,88
Meet,70,0.131668,172.30.1.1,172.30.1.250,TCP,88
Meet,71,0.131852,172.30.1.250,172.30.1.1,TCP,88
Meet,72,0.145808,172.30.1.1,172.30.1.250,UDP,676
Meet,73,0.145993,172.30.1.1,172.30.1.250,UDP,104
Meet,74,0.151079,172.30.1.1,172.30.1.250,UDP,164
Meet,75,0.166581,172.30.1.250,172.30.1.1,STUN,120
Meet,76,0.166763,172.30.1.250,172.30.1.1,STUN,120
Meet,77,0.169022,172.30.1.250,172.30.1.1,STUN,120
Meet,78,0.169186,172.30.1.250,172.30.1.1,TLSv1.3,2760
Meet,79,0.169623,172.30.1.1,172.30.1.250,TCP,88
Meet,80,0.169708,172.30.1.250,172.30.1.1,TCP,88
Meet,81,0.169795,172.30.1.250,172.30.1.1,STUN,164
Meet,82,0.170003,172.30.1.250,172.30.1.1,TLSv1.3,4572
Meet,83,0.170182,172.30.1.1,172.30.1.250,TCP,88
Meet,84,0.170253,172.30.1.250,172.30.1.1,TCP,88
Meet,85,0.170297,172.30.1.1,172.30.1.250,TCP,88
Meet,86,0.170343,172.30.1.250,172.30.1.1,TCP,88
Meet,87,0.188719,172.30.1.1,172.30.1.250,STUN,216
Meet,88,0.191403,172.30.1.1,172.30.1.250,UDP,164
Meet,89,0.198652,172.30.1.250,172.30.1.1,UDP,104
Meet,90,0.207038,172.30.1.1,172.30.1.250,UDP,108
Meet,91,0.212536,172.30.1.250,172.30.1.1,UDP,236
Meet,92,0.215755,172.30.1.1,172.30.1.250,UDP,112
Meet,93,0.236075,172.30.1.1,172.30.1.250,UDP,164
Meet,94,0.241962,172.30.1.250,172.30.1.1,UDP,100
Meet,95,0.274849,172.30.1.1,172.30.1.250,UDP,164
Meet,96,0.280855,172.30.1.1,172.30.1.250,STUN,108
Meet,97,0.314315,172.30.1.1,172.30.1.250,UDP,164
Meet,98,0.353578,172.30.1.1,172.30.1.250,UDP,164
Meet,99,0.355626,172.30.1.250,172.30.1.1,UDP,196
Meet,100,0.357338,172.30.1.1,172.30.1.250,UDP,112
Meet,101,0.368320,172.30.1.1,172.30.1.250,STUN,216
Meet,102,0.382153,172.30.1.250,172.30.1.1,UDP,204
Meet,103,0.383749,172.30.1.1,172.30.1.250,UDP,112
Meet,104,0.393948,172.30.1.1,172.30.1.250,UDP,164
Meet,105,0.408726,172.30.1.250,172.30.1.1,UDP,100
Meet,106,0.435431,172.30.1.1,172.30.1.250,UDP,164
Meet,107,0.456876,172.30.1.250,172.30.1.1,STUN,216
Meet,108,0.460119,172.30.1.1,172.30.1.250,STUN,216
Meet,109,0.460318,172.30.1.1,172.30.1.250,STUN,184
Meet,110,0.460425,172.30.1.1,172.30.1.250,STUN,104
Meet,111,0.473463,172.30.1.1,172.30.1.250,UDP,164
Meet,112,0.516548,172.30.1.1,172.30.1.250,UDP,164
Meet,113,0.523059,172.30.1.250,172.30.1.1,STUN,184
Meet,114,0.537472,172.30.1.250,172.30.1.1,STUN,216
Meet,115,0.538727,172.30.1.1,172.30.1.250,STUN,176
Meet,116,0.561340,172.30.1.1,172.30.1.250,STUN,232
Meet,117,0.561571,172.30.1.1,172.30.1.250,STUN,200
Meet,118,0.563918,172.30.1.250,172.30.1.1,STUN,204
Meet,119,0.574130,172.30.1.1,172.30.1.250,STUN,156
Meet,120,0.594379,172.30.1.1,172.30.1.250,STUN,204
Meet,121,0.601543,172.30.1.250,172.30.1.1,STUN,204
Meet,122,0.612100,172.30.1.1,172.30.1.250,UDP,104
Meet,123,0.624328,172.30.1.1,172.30.1.250,STUN,152
Meet,124,0.640709,172.30.1.1,172.30.1.250,STUN,200
Meet,125,0.641774,172.30.1.250,172.30.1.1,UDP,100
Meet,126,0.648793,172.30.1.250,172.30.1.1,STUN,204
Meet,127,0.668840,172.30.1.250,172.30.1.1,STUN,156
Meet,128,0.675952,172.30.1.1,172.30.1.250,STUN,204
Meet,129,0.676102,172.30.1.1,172.30.1.250,STUN,152
