file,app
embb_307,Browser
embb_207,Browser
embb_108,Browser
embb_208,Browser
embb_308,Browser
embb_107,Browser
urllc_7204,CallofDuty
urllc_8101,CallofDuty
urllc_4102,CallofDuty
urllc_7202,CallofDuty
urllc_9104,CallofDuty
urllc_4104,CallofDuty
urllc_7201,CallofDuty
urllc_9204,CallofDuty
urllc_4103,CallofDuty
urllc_9203,CallofDuty
urllc_7203,CallofDuty
urllc_7302,CallofDuty
urllc_7301,CallofDuty
urllc_9202,CallofDuty
urllc_7303,CallofDuty
urllc_7304,CallofDuty
urllc_9102,CallofDuty
urllc_8201,CallofDuty
urllc_4204,CallofDuty
urllc_6101,CallofDuty
urllc_6102,CallofDuty
urllc_6103,CallofDuty
urllc_6104,CallofDuty
urllc_5104,CallofDuty
urllc_5103,CallofDuty
urllc_4101,CallofDuty
urllc_5201,CallofDuty
urllc_5202,CallofDuty
urllc_5203,CallofDuty
urllc_9101,CallofDuty
urllc_8202,CallofDuty
urllc_8203,CallofDuty
urllc_8204,CallofDuty
urllc_5303,CallofDuty
urllc_5302,CallofDuty
urllc_5301,CallofDuty
urllc_502,CallofDuty
urllc_501,CallofDuty
urllc_4201,CallofDuty
urllc_4202,CallofDuty
urllc_4203,CallofDuty
urllc_402,CallofDuty
urllc_5102,CallofDuty
urllc_401,CallofDuty
urllc_8302,CallofDuty
urllc_8303,CallofDuty
urllc_8304,CallofDuty
urllc_5304,CallofDuty
urllc_8104,CallofDuty
urllc_8103,CallofDuty
urllc_8102,CallofDuty
urllc_9201,CallofDuty
urllc_7101,CallofDuty
urllc_7102,CallofDuty
urllc_7103,CallofDuty
urllc_7104,CallofDuty
urllc_5204,CallofDuty
urllc_8301,CallofDuty
urllc_5101,CallofDuty
urllc_9103,CallofDuty
urllc_6202,CallofDuty
urllc_9304,CallofDuty
urllc_4303,CallofDuty
urllc_9303,CallofDuty
urllc_6301,CallofDuty
urllc_302,CallofDuty
urllc_6203,CallofDuty
urllc_201,CallofDuty
urllc_4302,CallofDuty
urllc_6204,CallofDuty
urllc_9302,CallofDuty
urllc_4304,CallofDuty
urllc_202,CallofDuty
urllc_6302,CallofDuty
urllc_9301,CallofDuty
urllc_4301,CallofDuty
urllc_102,CallofDuty
urllc_6201,CallofDuty
urllc_6303,CallofDuty
urllc_301,CallofDuty
urllc_101,CallofDuty
urllc_6304,CallofDuty
mmtc_110,Crypto
mmtc_210,Crypto
mmtc_309,Crypto
mmtc_310,Crypto
mmtc_209,Crypto
mmtc_109,Crypto
mmtc_108,ESPN
mmtc_208,ESPN
mmtc_107,ESPN
mmtc_307,ESPN
mmtc_207,ESPN
mmtc_308,ESPN
urllc_5217,Facebook
urllc_5218,Facebook
urllc_6217,Facebook
urllc_8317,Facebook
urllc_8318,Facebook
urllc_8319,Facebook
urllc_8320,Facebook
urllc_5219,Facebook
urllc_6218,Facebook
urllc_9217,Facebook
urllc_6220,Facebook
urllc_4320,Facebook
urllc_510,Facebook
urllc_509,Facebook
urllc_4319,Facebook
urllc_4120,Facebook
urllc_8120,Facebook
urllc_8119,Facebook
urllc_8118,Facebook
urllc_4318,Facebook
urllc_4317,Facebook
urllc_8117,Facebook
urllc_5220,Facebook
urllc_8217,Facebook
urllc_8218,Facebook
urllc_410,Facebook
urllc_409,Facebook
urllc_8219,Facebook
urllc_8220,Facebook
urllc_9118,Facebook
urllc_9119,Facebook
urllc_9120,Facebook
urllc_6219,Facebook
urllc_9117,Facebook
urllc_7117,Facebook
urllc_6317,Facebook
urllc_4220,Facebook
urllc_4117,Facebook
urllc_6118,Facebook
urllc_7317,Facebook
urllc_7319,Facebook
urllc_7320,Facebook
urllc_309,Facebook
urllc_208,Facebook
urllc_308,Facebook
urllc_4118,Facebook
urllc_6117,Facebook
urllc_209,Facebook
urllc_9319,Facebook
urllc_9318,Facebook
urllc_9220,Facebook
urllc_9219,Facebook
urllc_4219,Facebook
