timestamp,accuracy
"2026-01-03 11:06:21,621",1.0
"2026-01-03 11:06:22,621",1.0
"2026-01-03 11:06:23,623",1.0
"2026-01-03 11:06:24,624",1.0
"2026-01-03 11:06:25,626",0.8
"2026-01-03 11:06:26,628",0.833333
"2026-01-03 11:06:27,629",0.857143
"2026-01-03 11:06:28,631",0.875
"2026-01-03 11:06:29,632",0.777778
"2026-01-03 11:06:30,633",0.8
"2026-01-03 11:06:31,635",0.818182
"2026-01-03 11:06:32,637",0.833333
"2026-01-03 11:06:33,639",0.846154
"2026-01-03 11:06:34,641",0.857143
"2026-01-03 11:06:35,643",0.866667
"2026-01-03 11:06:36,645",0.875
"2026-01-03 11:06:37,647",0.882353
"2026-01-03 11:06:38,649",0.888889
"2026-01-03 11:06:39,650",0.894737
"2026-01-03 11:06:40,652",0.9
"2026-01-03 11:06:41,653",0.904762
"2026-01-03 11:06:42,655",0.909091
"2026-01-03 11:06:43,657",0.913043
"2026-01-03 11:06:44,658",0.916667
"2026-01-03 11:06:45,659",0.92
"2026-01-03 11:06:46,663",0.923077
"2026-01-03 11:06:47,665",0.925926
"2026-01-03 11:06:48,667",0.928571
"2026-01-03 11:06:49,669",0.931034
"2026-01-03 11:06:50,671",0.933333
"2026-01-03 11:06:51,673",0.935484
"2026-01-03 11:06:52,674",0.9375
"2026-01-03 11:06:53,676",0.939394
"2026-01-03 11:06:54,678",0.941176
"2026-01-03 11:06:55,679",0.942857
"2026-01-03 11:06:56,680",0.944444
"2026-01-03 11:06:57,683",0.945946
"2026-01-03 11:06:58,684",0.947368
"2026-01-03 11:06:59,686",0.948718
"2026-01-03 11:07:00,687",0.95
"2026-01-03 11:07:01,689",0.95122
"2026-01-03 11:07:02,690",0.952381
"2026-01-03 11:07:03,692",0.953488
"2026-01-03 11:07:04,693",0.954545
"2026-01-03 11:07:05,695",0.955556
"2026-01-03 11:07:06,697",0.956522
"2026-01-03 11:07:07,699",0.957447
"2026-01-03 11:07:08,700",0.958333
"2026-01-03 11:07:09,703",0.959184
"2026-01-03 11:07:10,704",0.96
"2026-01-03 11:07:11,705",0.960784
"2026-01-03 11:07:12,707",0.961538
"2026-01-03 11:07:13,710",0.962264
"2026-01-03 11:07:14,710",0.962963
"2026-01-03 11:07:15,712",0.963636
"2026-01-03 11:07:16,714",0.964286
"2026-01-03 11:07:17,715",0.964912
"2026-01-03 11:07:18,717",0.965517
"2026-01-03 11:07:19,718",0.966102
"2026-01-03 11:07:20,720",0.966667
"2026-01-03 11:07:21,721",0.967213
"2026-01-03 11:07:22,723",0.967742
"2026-01-03 11:07:23,724",0.968254
"2026-01-03 11:07:24,726",0.96875
"2026-01-03 11:07:25,729",0.969231
"2026-01-03 11:07:26,729",0.969697
"2026-01-03 11:07:27,731",0.970149
"2026-01-03 11:07:28,732",0.970588
"2026-01-03 11:07:29,735",0.971014
"2026-01-03 11:07:30,736",0.971429
"2026-01-03 11:07:31,738",0.971831
"2026-01-03 11:07:32,741",0.972222
"2026-01-03 11:07:33,744",0.972603
"2026-01-03 11:07:34,746",0.972973
"2026-01-03 11:07:35,748",0.973333
"2026-01-03 11:07:36,749",0.973684
"2026-01-03 11:07:37,751",0.974026
"2026-01-03 11:07:38,753",0.974359
"2026-01-03 11:07:39,755",0.974684
"2026-01-03 11:07:40,757",0.975
"2026-01-03 11:07:41,759",0.975309
"2026-01-03 11:07:42,761",0.97561
"2026-01-03 11:07:43,762",0.975904
"2026-01-03 11:07:44,763",0.97619
"2026-01-03 11:07:45,765",0.976471
"2026-01-03 11:07:46,767",0.976744
"2026-01-03 11:07:47,769",0.977011
"2026-01-03 11:07:48,771",0.977273
"2026-01-03 11:07:49,772",0.977528
"2026-01-03 11:07:50,774",0.977778
"2026-01-03 11:07:51,776",0.978022
"2026-01-03 11:07:52,778",0.978261
"2026-01-03 11:07:53,779",0.978495
"2026-01-03 11:07:54,781",0.978723
"2026-01-03 11:07:55,783",0.978947
"2026-01-03 11:07:56,785",0.979167
"2026-01-03 11:07:57,787",0.979381
"2026-01-03 11:07:58,789",0.979592
"2026-01-03 11:07:59,790",0.979798
"2026-01-03 11:08:00,792",0.98
"2026-01-03 11:08:01,793",0.980198
"2026-01-03 11:08:02,795",0.980392
"2026-01-03 11:08:03,797",0.980583
"2026-01-03 11:08:04,799",0.980769
"2026-01-03 11:08:05,801",0.980952
"2026-01-03 11:08:06,803",0.981132
"2026-01-03 11:08:07,805",0.981308
"2026-01-03 11:08:08,807",0.981481
"2026-01-03 11:08:09,808",0.981651
"2026-01-03 11:08:10,810",0.981818
"2026-01-03 11:08:11,812",0.981982
"2026-01-03 11:08:12,813",0.982143
"2026-01-03 11:08:13,815",0.982301
"2026-01-03 11:08:14,817",0.982456
"2026-01-03 11:08:15,819",0.982609
"2026-01-03 11:08:16,820",0.982759
"2026-01-03 11:08:17,823",0.982906
"2026-01-03 11:08:18,824",0.983051
"2026-01-03 11:08:19,826",0.983193
"2026-01-03 11:08:20,828",0.983333
"2026-01-03 11:08:21,830",0.983471
"2026-01-03 11:08:22,832",0.983607
"2026-01-03 11:08:23,834",0.98374
"2026-01-03 11:08:24,850",0.983871
"2026-01-03 11:08:25,851",0.984
"2026-01-03 11:08:26,853",0.984127
"2026-01-03 11:08:27,855",0.984252
"2026-01-03 11:08:28,857",0.984375
"2026-01-03 11:08:29,858",0.984496
"2026-01-03 11:08:30,861",0.984615
"2026-01-03 11:08:31,862",0.984733
"2026-01-03 11:08:32,865",0.984848
"2026-01-03 11:08:33,866",0.984962
"2026-01-03 11:08:34,868",0.985075
"2026-01-03 11:08:35,869",0.985185
"2026-01-03 11:08:36,871",0.985294
"2026-01-03 11:08:37,873",0.985401
"2026-01-03 11:08:38,874",0.985507
"2026-01-03 11:08:39,876",0.985612
"2026-01-03 11:08:40,878",0.985714
"2026-01-03 11:08:41,880",0.985816
"2026-01-03 11:08:42,882",0.985915
"2026-01-03 11:08:43,884",0.986014
"2026-01-03 11:08:44,886",0.986111
"2026-01-03 11:08:45,888",0.986207
"2026-01-03 11:08:46,889",0.986301
"2026-01-03 11:08:47,891",0.986395
