timestamp,accuracy
"2026-01-03 10:42:17,688",1.0
"2026-01-03 10:42:18,687",1.0
"2026-01-03 10:42:19,689",0.666667
"2026-01-03 10:42:20,691",0.75
"2026-01-03 10:42:21,693",0.8
"2026-01-03 10:42:22,694",0.833333
"2026-01-03 10:42:23,695",0.857143
"2026-01-03 10:42:24,697",0.875
"2026-01-03 10:42:25,698",0.888889
"2026-01-03 10:42:26,700",0.9
"2026-01-03 10:42:27,701",0.818182
"2026-01-03 10:42:28,703",0.833333
"2026-01-03 10:42:29,705",0.846154
"2026-01-03 10:42:30,706",0.857143
"2026-01-03 10:42:31,708",0.866667
"2026-01-03 10:42:32,709",0.875
"2026-01-03 10:42:33,711",0.882353
"2026-01-03 10:42:34,712",0.888889
"2026-01-03 10:42:35,714",0.894737
"2026-01-03 10:42:36,715",0.9
"2026-01-03 10:42:37,717",0.904762
"2026-01-03 10:42:38,718",0.909091
"2026-01-03 10:42:39,720",0.913043
"2026-01-03 10:42:40,721",0.916667
"2026-01-03 10:42:41,723",0.92
"2026-01-03 10:42:42,725",0.923077
"2026-01-03 10:42:43,726",0.925926
"2026-01-03 10:42:44,728",0.928571
"2026-01-03 10:42:45,730",0.931034
"2026-01-03 10:42:46,731",0.933333
"2026-01-03 10:42:47,732",0.935484
"2026-01-03 10:42:48,734",0.9375
"2026-01-03 10:42:49,736",0.939394
"2026-01-03 10:42:50,737",0.941176
"2026-01-03 10:42:51,739",0.914286
"2026-01-03 10:42:52,741",0.916667
"2026-01-03 10:42:53,742",0.918919
"2026-01-03 10:42:54,744",0.921053
"2026-01-03 10:42:55,746",0.923077
"2026-01-03 10:42:56,747",0.925
"2026-01-03 10:42:57,749",0.926829
"2026-01-03 10:42:58,750",0.928571
"2026-01-03 10:42:59,753",0.930233
"2026-01-03 10:43:00,754",0.931818
"2026-01-03 10:43:01,755",0.933333
"2026-01-03 10:43:02,757",0.934783
"2026-01-03 10:43:03,759",0.93617
"2026-01-03 10:43:04,760",0.9375
"2026-01-03 10:43:05,762",0.938776
"2026-01-03 10:43:06,763",0.94
"2026-01-03 10:43:07,765",0.941176
"2026-01-03 10:43:08,767",0.942308
"2026-01-03 10:43:09,768",0.943396
"2026-01-03 10:43:10,770",0.944444
"2026-01-03 10:43:11,771",0.945455
"2026-01-03 10:43:12,773",0.946429
"2026-01-03 10:43:13,775",0.947368
"2026-01-03 10:43:14,776",0.948276
"2026-01-03 10:43:15,779",0.949153
"2026-01-03 10:43:16,780",0.95
"2026-01-03 10:43:17,782",0.95082
"2026-01-03 10:43:18,783",0.951613
"2026-01-03 10:43:19,785",0.952381
"2026-01-03 10:43:20,786",0.953125
"2026-01-03 10:43:21,788",0.953846
"2026-01-03 10:43:22,790",0.954545
"2026-01-03 10:43:23,791",0.955224
"2026-01-03 10:43:24,793",0.955882
"2026-01-03 10:43:25,794",0.956522
"2026-01-03 10:43:26,796",0.957143
"2026-01-03 10:43:27,798",0.957746
"2026-01-03 10:43:28,800",0.958333
"2026-01-03 10:43:29,801",0.958904
"2026-01-03 10:43:30,803",0.959459
"2026-01-03 10:43:31,805",0.96
"2026-01-03 10:43:32,807",0.960526
"2026-01-03 10:43:33,808",0.961039
"2026-01-03 10:43:34,810",0.961538
"2026-01-03 10:43:35,811",0.962025
"2026-01-03 10:43:36,813",0.9625
"2026-01-03 10:43:37,815",0.962963
"2026-01-03 10:43:38,817",0.963415
"2026-01-03 10:43:39,818",0.963855
"2026-01-03 10:43:40,820",0.964286
"2026-01-03 10:43:41,821",0.964706
"2026-01-03 10:43:42,823",0.965116
"2026-01-03 10:43:43,825",0.965517
"2026-01-03 10:43:44,827",0.965909
"2026-01-03 10:43:45,829",0.966292
"2026-01-03 10:43:46,830",0.966667
"2026-01-03 10:43:47,832",0.967033
"2026-01-03 10:43:48,833",0.967391
"2026-01-03 10:43:49,835",0.967742
"2026-01-03 10:43:50,837",0.968085
"2026-01-03 10:43:51,838",0.968421
"2026-01-03 10:43:52,840",0.96875
"2026-01-03 10:43:53,842",0.969072
"2026-01-03 10:43:54,844",0.969388
"2026-01-03 10:43:55,846",0.969697
"2026-01-03 10:43:56,847",0.97
"2026-01-03 10:43:57,849",0.970297
"2026-01-03 10:43:58,851",0.970588
"2026-01-03 10:43:59,853",0.970874
"2026-01-03 10:44:00,855",0.971154
"2026-01-03 10:44:01,857",0.971429
"2026-01-03 10:44:02,859",0.971698
"2026-01-03 10:44:03,861",0.971963
"2026-01-03 10:44:04,862",0.972222
"2026-01-03 10:44:05,865",0.972477
"2026-01-03 10:44:06,866",0.972727
"2026-01-03 10:44:07,868",0.972973
"2026-01-03 10:44:08,869",0.973214
"2026-01-03 10:44:09,871",0.973451
"2026-01-03 10:44:10,873",0.973684
"2026-01-03 10:44:11,875",0.973913
"2026-01-03 10:44:12,876",0.974138
"2026-01-03 10:44:13,879",0.974359
"2026-01-03 10:44:14,881",0.974576
"2026-01-03 10:44:15,883",0.97479
"2026-01-03 10:44:16,884",0.975
"2026-01-03 10:44:17,888",0.975207
"2026-01-03 10:44:18,888",0.97541
"2026-01-03 10:44:19,890",0.97561
"2026-01-03 10:44:20,892",0.975806
"2026-01-03 10:44:21,894",0.976
"2026-01-03 10:44:22,895",0.97619
"2026-01-03 10:44:23,900",0.976378
"2026-01-03 10:44:24,901",0.976562
"2026-01-03 10:44:25,903",0.976744
"2026-01-03 10:44:26,906",0.976923
"2026-01-03 10:44:27,907",0.977099
"2026-01-03 10:44:28,909",0.977273
"2026-01-03 10:44:29,911",0.977444
"2026-01-03 10:44:30,912",0.977612
"2026-01-03 10:44:31,915",0.977778
"2026-01-03 10:44:32,920",0.977941
"2026-01-03 10:44:33,919",0.978102
"2026-01-03 10:44:34,920",0.978261
"2026-01-03 10:44:35,924",0.978417
"2026-01-03 10:44:36,924",0.978571
"2026-01-03 10:44:37,926",0.978723
"2026-01-03 10:44:38,929",0.978873
"2026-01-03 10:44:39,931",0.979021
"2026-01-03 10:44:40,933",0.979167
"2026-01-03 10:44:41,936",0.97931
"2026-01-03 10:44:42,937",0.979452
"2026-01-03 10:44:43,939",0.979592
"2026-01-03 10:44:44,941",0.97973
"2026-01-03 10:44:45,943",0.979866
"2026-01-03 10:44:46,945",0.98
"2026-01-03 10:44:47,948",0.980132
"2026-01-03 10:44:48,949",0.980263
"2026-01-03 10:44:49,951",0.980392
"2026-01-03 10:44:50,953",0.980519
"2026-01-03 10:44:51,955",0.980645
"2026-01-03 10:44:52,956",0.980769
"2026-01-03 10:44:53,959",0.980892
"2026-01-03 10:44:54,960",0.981013
"2026-01-03 10:44:55,962",0.981132
"2026-01-03 10:44:56,964",0.98125
"2026-01-03 10:44:57,967",0.981366
"2026-01-03 10:44:58,968",0.981481
"2026-01-03 10:44:59,970",0.981595
"2026-01-03 10:45:00,971",0.981707
"2026-01-03 10:45:01,973",0.981818
"2026-01-03 10:45:02,975",0.981928
"2026-01-03 10:45:03,977",0.982036
"2026-01-03 10:45:04,979",0.982143
"2026-01-03 10:45:05,982",0.982249
"2026-01-03 10:45:06,982",0.982353
"2026-01-03 10:45:07,984",0.982456
"2026-01-03 10:45:08,985",0.982558
"2026-01-03 10:45:09,987",0.982659
"2026-01-03 10:45:10,989",0.982759
"2026-01-03 10:45:11,991",0.982857
"2026-01-03 10:45:12,992",0.982955
"2026-01-03 10:45:13,995",0.983051
"2026-01-03 10:45:14,996",0.983146
"2026-01-03 10:45:15,998",0.98324
"2026-01-03 10:45:17,000",0.983333
"2026-01-03 10:45:18,002",0.983425
"2026-01-03 10:45:19,004",0.983516
"2026-01-03 10:45:20,005",0.983607
"2026-01-03 10:45:21,008",0.983696
"2026-01-03 10:45:22,010",0.983784
"2026-01-03 10:45:23,011",0.983871
"2026-01-03 10:45:24,013",0.983957
"2026-01-03 10:45:25,015",0.984043
"2026-01-03 10:45:26,017",0.984127
"2026-01-03 10:45:27,019",0.984211
"2026-01-03 10:45:28,021",0.984293
"2026-01-03 10:45:29,022",0.984375
"2026-01-03 10:45:30,025",0.984456
"2026-01-03 10:45:31,027",0.984536
"2026-01-03 10:45:32,028",0.984615
"2026-01-03 10:45:33,030",0.984694
"2026-01-03 10:45:34,032",0.984772
"2026-01-03 10:45:35,034",0.984848
"2026-01-03 10:45:36,036",0.984925
"2026-01-03 10:45:37,038",0.985
"2026-01-03 10:45:38,040",0.985075
"2026-01-03 10:45:39,042",0.985149
"2026-01-03 10:45:40,044",0.985222
"2026-01-03 10:45:41,046",0.985294
"2026-01-03 10:45:42,049",0.985366
"2026-01-03 10:45:43,050",0.985437
"2026-01-03 10:45:44,052",0.985507
"2026-01-03 10:45:45,054",0.985577
"2026-01-03 10:45:46,056",0.985646
"2026-01-03 10:45:47,058",0.985714
"2026-01-03 10:45:48,059",0.985782
"2026-01-03 10:45:49,062",0.985849
"2026-01-03 10:45:50,064",0.985915
"2026-01-03 10:45:51,066",0.985981
"2026-01-03 10:45:52,068",0.986047
"2026-01-03 10:45:53,070",0.986111
