timestamp,latency_ms
"2026-01-03 10:42:17,688",3.628
"2026-01-03 10:42:18,687",1.501
"2026-01-03 10:42:19,689",1.592
"2026-01-03 10:42:20,691",1.598
"2026-01-03 10:42:21,693",1.641
"2026-01-03 10:42:22,694",1.456
"2026-01-03 10:42:23,695",1.281
"2026-01-03 10:42:24,697",1.638
"2026-01-03 10:42:25,698",1.377
"2026-01-03 10:42:26,700",1.536
"2026-01-03 10:42:27,701",1.258
"2026-01-03 10:42:28,703",1.37
"2026-01-03 10:42:29,705",1.482
"2026-01-03 10:42:30,706",1.32
"2026-01-03 10:42:31,708",1.298
"2026-01-03 10:42:32,709",1.415
"2026-01-03 10:42:33,711",1.32
"2026-01-03 10:42:34,712",1.569
"2026-01-03 10:42:35,714",1.395
"2026-01-03 10:42:36,715",1.47
"2026-01-03 10:42:37,717",1.437
"2026-01-03 10:42:38,718",1.416
"2026-01-03 10:42:39,720",1.307
"2026-01-03 10:42:40,721",1.369
"2026-01-03 10:42:41,723",1.309
"2026-01-03 10:42:42,725",1.345
"2026-01-03 10:42:43,726",1.394
"2026-01-03 10:42:44,728",1.279
"2026-01-03 10:42:45,730",1.604
"2026-01-03 10:42:46,731",1.409
"2026-01-03 10:42:47,732",1.451
"2026-01-03 10:42:48,734",1.593
"2026-01-03 10:42:49,736",1.347
"2026-01-03 10:42:50,737",1.361
"2026-01-03 10:42:51,739",1.9
"2026-01-03 10:42:52,741",1.46
"2026-01-03 10:42:53,742",1.506
"2026-01-03 10:42:54,744",1.77
"2026-01-03 10:42:55,746",1.657
"2026-01-03 10:42:56,747",1.429
"2026-01-03 10:42:57,749",1.357
"2026-01-03 10:42:58,750",1.358
"2026-01-03 10:42:59,753",1.716
"2026-01-03 10:43:00,754",1.394
"2026-01-03 10:43:01,755",1.4
"2026-01-03 10:43:02,757",1.754
"2026-01-03 10:43:03,759",1.388
"2026-01-03 10:43:04,760",1.358
