timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2026-02-23T09:02:29.657909,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:29.658238,2,2,2,0,0,0,0,0,5,55
2026-02-23T09:02:29.658517,3,3,3,0,0,0,0,0,5,50
2026-02-23T09:02:29.658731,4,4,4,0,1498,0,0.36,1547.66,85,34602
2026-02-23T09:02:30.654339,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:30.655874,1,1,1,0,0,0,0,0,5,55
2026-02-23T09:02:30.656398,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:30.657037,3,3,3,0,0,0,0,0,5,55
2026-02-23T09:02:30.657295,4,4,4,0,2412,0,0.62,2474.34,135,23277
2026-02-23T09:02:31.654497,5,5,5,0,0,0,0,0,5,55
2026-02-23T09:02:31.656504,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:31.656749,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:31.657191,3,3,3,0,0,0,0,0,5,50
2026-02-23T09:02:31.657576,4,4,4,0,2384,0,0.62,2435.68,135,14577
2026-02-23T09:02:32.654823,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:32.656281,1,1,1,0,0,0,0,0,10,50
2026-02-23T09:02:32.656490,2,2,2,0,0,0,0,0,5,55
2026-02-23T09:02:32.656697,3,3,3,0,0,0,0,0,5,50
2026-02-23T09:02:32.656941,4,4,4,0,780,0,0.31,798.54,70,3116
2026-02-23T09:02:33.654684,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:33.656549,1,1,1,0,0,0,0,0,5,55
2026-02-23T09:02:33.656785,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:33.656980,3,3,3,0,0,0,0,0,10,55
2026-02-23T09:02:33.657188,4,4,4,0,0,0,0,0,5,50
2026-02-23T09:02:34.654767,5,5,5,0,0,0,0,0,5,55
2026-02-23T09:02:34.656790,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:34.657109,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:34.657564,3,3,3,0,0,0,0,0,5,50
2026-02-23T09:02:34.658183,4,4,4,0,0,0,0,0,10,50
2026-02-23T09:02:35.654746,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:35.656242,1,1,1,0,0,0,0,0,5,55
2026-02-23T09:02:35.656431,2,2,2,0,0,0,0,0,5,55
2026-02-23T09:02:35.656640,3,3,3,0,0,0,0,0,5,55
2026-02-23T09:02:35.656839,4,4,4,0,0,0,0,0,5,55
2026-02-23T09:02:36.654411,5,5,5,0,0,0,0,0,10,55
2026-02-23T09:02:36.655788,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:36.656104,2,2,2,0,0,0,0,0,5,55
2026-02-23T09:02:36.656343,3,3,3,0,0,0,0,0,5,50
2026-02-23T09:02:36.656569,4,4,4,0,0,0,0,0,5,55
2026-02-23T09:02:37.654758,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:37.656839,1,1,1,0,0,0,0,0,5,55
2026-02-23T09:02:37.657495,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:37.657912,3,3,3,0,0,0,0,0,5,55
2026-02-23T09:02:37.658137,4,4,4,0,0,0,0,0,5,50
2026-02-23T09:02:38.654711,5,5,5,0,0,0,0,0,5,55
2026-02-23T09:02:38.656932,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:38.657206,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:38.657498,3,3,3,2943,98,1053.71,2958.92,117.08,44466,6449
2026-02-23T09:02:38.657744,4,4,4,108,2933,352.15,123.7,2972.94,2215,42925
2026-02-23T09:02:39.655926,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:39.656711,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:39.657529,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:39.657914,3,3,3,2943,98,832.34,10556.78,387.84,52766,7189
2026-02-23T09:02:39.658182,4,4,4,108,2933,327.03,416.9,10519.92,2187,51166
2026-02-23T09:02:39.658451,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:40.656278,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:40.656636,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:40.656906,3,3,3,14584,467,489.21,14664.22,543.42,37865,5610
2026-02-23T09:02:40.657138,4,4,4,513,14537,414.18,586.9,14616.98,1791,39001
2026-02-23T09:02:41.654572,5,5,5,0,0,0,0,0,0,45
2026-02-23T09:02:41.656123,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:41.656379,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:41.656636,3,3,3,10789,319,450.71,10841.11,370.46,16279,2988
2026-02-23T09:02:41.656897,4,4,4,350,10757,316.83,400.02,10833.43,1012,23629
2026-02-23T09:02:42.655057,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:42.657114,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:42.657489,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:42.657772,3,3,3,9870,317,670.93,9922.3,368.64,14953,2956
2026-02-23T09:02:42.657978,4,4,4,349,9838,200.99,398.13,9894.92,1015,22475
2026-02-23T09:02:43.655334,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:43.657238,1,1,1,0,0,0,0,0,0,50
2026-02-23T09:02:43.657693,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:43.658339,3,3,3,9666,320,419.53,9717.16,371.94,14741,2967
2026-02-23T09:02:43.658633,4,4,4,353,9634,286.82,402.64,9780.3,973,21317
2026-02-23T09:02:44.654808,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:44.656077,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:44.656443,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:44.656796,3,3,3,10080,324,602.98,10132.74,376.98,15041,2892
2026-02-23T09:02:44.657015,4,4,4,356,10047,175.49,406.78,10032.28,993,22479
2026-02-23T09:02:45.654920,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:45.656287,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:45.656487,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:45.656828,3,3,3,10340,313,543.87,10392.54,364.04,15437,2917
2026-02-23T09:02:45.657035,4,4,4,344,10308,366.67,393.34,10363.84,987,22641
2026-02-23T09:02:46.654731,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:46.656307,1,1,1,0,0,0,0,0,5,40
2026-02-23T09:02:46.656743,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:46.657192,3,3,3,9992,319,517.95,10044.43,370.2,15116,2782
2026-02-23T09:02:46.657491,4,4,4,351,9959,265.85,400.58,10028.1,957,20835
2026-02-23T09:02:47.654347,5,5,5,0,0,0,0,0,5,40
2026-02-23T09:02:47.656650,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:47.656975,2,2,2,0,0,0,0,0,5,40
2026-02-23T09:02:47.657304,3,3,3,10254,325,772.18,10305.51,378.26,15383,2843
2026-02-23T09:02:47.657841,4,4,4,357,10222,255.2,408.34,10284.06,1006,23048
2026-02-23T09:02:48.655081,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:48.656985,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:48.657241,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:48.657492,3,3,3,10418,318,421.06,10482.25,369.91,15024,2851
2026-02-23T09:02:48.657703,4,4,4,349,10399,231.89,398.78,10466.27,969,23552
2026-02-23T09:02:49.655057,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:49.658161,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:49.658753,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:49.659304,3,3,3,10592,317,594,10598.73,368.44,15679,2873
2026-02-23T09:02:49.659670,4,4,4,349,10548,348.99,398.56,10614.75,1006,22928
2026-02-23T09:02:50.654604,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:50.656107,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:50.656340,2,2,2,0,0,0,0,0,0,45
2026-02-23T09:02:50.656905,3,3,3,9995,323,494.7,10081.17,375.88,15032,2979
2026-02-23T09:02:50.657340,4,4,4,356,9963,206.29,406.27,10018.97,992,21293
2026-02-23T09:02:51.654819,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:51.656575,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:51.657009,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:51.657301,3,3,3,9873,319,466.11,9925.71,370.52,14670,2968
2026-02-23T09:02:51.657788,4,4,4,350,9841,227.16,400.3,9916.42,994,21737
2026-02-23T09:02:52.654642,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:52.656493,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:52.656693,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:52.656887,3,3,3,9588,312,680.48,9640.74,361.61,14796,3150
2026-02-23T09:02:52.657160,4,4,4,343,9556,333.54,391.86,9618.81,974,20615
2026-02-23T09:02:53.654649,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:53.656658,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:53.657128,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:53.657360,3,3,3,9446,326,667.43,9499.02,378.47,14610,3104
2026-02-23T09:02:53.657564,4,4,4,359,9414,291.22,409.98,9476.36,1031,20444
2026-02-23T09:02:54.654815,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:54.656590,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:54.656848,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:54.657057,3,3,3,10507,319,481.1,10559.97,372.17,15434,2737
2026-02-23T09:02:54.657282,4,4,4,351,10475,342.62,400.91,10529.42,1016,23739
2026-02-23T09:02:55.654582,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:55.656178,1,1,1,0,0,0,0,0,5,45
2026-02-23T09:02:55.656557,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:55.656809,3,3,3,9496,323,410.77,9547.78,375.06,14457,3053
2026-02-23T09:02:55.657019,4,4,4,355,9464,286.39,405.82,9527.98,1005,20804
2026-02-23T09:02:56.654679,5,5,5,0,0,0,0,0,5,45
2026-02-23T09:02:56.656042,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:56.656254,2,2,2,0,0,0,0,0,5,45
2026-02-23T09:02:56.656483,3,3,3,9882,319,744.42,9934.28,370.06,14969,3042
2026-02-23T09:02:56.656869,4,4,4,350,9850,319.78,400.23,9914.24,987,22065
2026-02-23T09:02:57.654645,5,5,5,0,0,0,0,0,5,50
2026-02-23T09:02:57.656536,1,1,1,0,0,0,0,0,5,50
2026-02-23T09:02:57.657214,2,2,2,0,0,0,0,0,5,50
2026-02-23T09:02:57.657712,3,3,3,10098,313,563.09,10151.68,363.8,15112,2860
2026-02-23T09:02:57.658005,4,4,4,344,10066,373.6,392.93,10139.56,1005,22321
