[2026-03-23 12:35:13,961] [INFO] Using device: cpu
[2026-03-23 12:35:14,002] [INFO] Labeling arch: GCN
[2026-03-23 12:35:14,003] [INFO] LabelingxApp loaded from /models/labeling_xapp.pth
[2026-03-23 12:35:14,003] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-23 12:35:14,003] [INFO] xApp KCL listening on port 4500
[2026-03-23 12:36:04,222] [INFO] Client connected: ('10.244.0.25', 59036) | NUM_UES=5 | T=32.0s
[2026-03-23 12:36:36,314] [INFO] [2026-03-23T12:36:35.375114] UE 1/5 | ran_ue_id=1 | PRB=85.24 ThpDl=1.84 ThpUl=1722.75 RlcDelay=0.00 VolDL=2 VolUL=1709 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:36:36,314] [INFO] [2026-03-23T12:36:35.375114] UE 2/5 | ran_ue_id=2 | PRB=5014.18 ThpDl=1726.94 ThpUl=1.88 RlcDelay=114.64 VolDL=1716 VolUL=2 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:36:36,314] [INFO] [2026-03-23T12:36:35.375114] UE 3/5 | ran_ue_id=3 | PRB=5.15 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:36:36,314] [INFO] [2026-03-23T12:36:35.375114] UE 4/5 | ran_ue_id=4 | PRB=5.30 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:36:36,314] [INFO] [2026-03-23T12:36:35.375114] UE 5/5 | ran_ue_id=5 | PRB=5.30 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:37:08,373] [INFO] [2026-03-23T12:37:07.376266] UE 1/5 | ran_ue_id=1 | PRB=256.41 ThpDl=5.26 ThpUl=8063.41 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:37:08,373] [INFO] [2026-03-23T12:37:07.376266] UE 2/5 | ran_ue_id=2 | PRB=10663.12 ThpDl=8080.90 ThpUl=5.51 RlcDelay=301.40 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 6%
[2026-03-23 12:37:08,373] [INFO] [2026-03-23T12:37:07.376266] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:37:08,374] [INFO] [2026-03-23T12:37:07.376266] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:37:08,374] [INFO] [2026-03-23T12:37:07.376266] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Medium | PRB alloc: 24%
[2026-03-23 12:37:40,443] [INFO] [2026-03-23T12:37:40.373911] UE 1/5 | ran_ue_id=1 | PRB=248.68 ThpDl=5.25 ThpUl=8059.93 RlcDelay=0.00 VolDL=4 VolUL=7998 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:37:40,443] [INFO] [2026-03-23T12:37:40.373911] UE 2/5 | ran_ue_id=2 | PRB=10461.68 ThpDl=8078.86 ThpUl=5.52 RlcDelay=293.75 VolDL=8030 VolUL=4 | Load: Heavy  | PRB alloc: 6%
