[2026-03-23 16:38:45,598] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-23 16:38:46,020] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-23 16:38:46,020] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-23 16:38:46,021] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-23 16:38:46,022] [INFO] xApp KCL listening on port 4500
[2026-03-23 16:39:20,515] [INFO] Client connected: ('10.244.0.25', 43808) | NUM_UES=5 | T=8.0s
[2026-03-23 16:39:28,551] [INFO] [2026-03-23T16:39:28.281860] UE 1/5 | ran_ue_id=1 | PRB=5.56 ThpDl=0.00 ThpUl=0.06 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:28,552] [INFO] [2026-03-23T16:39:28.281860] UE 2/5 | ran_ue_id=2 | PRB=861.67 ThpDl=89.00 ThpUl=693.89 RlcDelay=120.27 VolDL=78 VolUL=676 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:39:28,552] [INFO] [2026-03-23T16:39:28.281860] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:28,553] [INFO] [2026-03-23T16:39:28.281860] UE 4/5 | ran_ue_id=4 | PRB=5015.11 ThpDl=616.38 ThpUl=31.44 RlcDelay=185.96 VolDL=608 VolUL=26 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:39:28,553] [INFO] [2026-03-23T16:39:28.281860] UE 5/5 | ran_ue_id=5 | PRB=685.22 ThpDl=51.35 ThpUl=32.55 RlcDelay=63.82 VolDL=47 VolUL=27 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:39:37,561] [INFO] [2026-03-23T16:39:37.281054] UE 1/5 | ran_ue_id=1 | PRB=5.56 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:37,561] [INFO] [2026-03-23T16:39:37.281054] UE 2/5 | ran_ue_id=2 | PRB=968.56 ThpDl=305.95 ThpUl=2440.02 RlcDelay=225.57 VolDL=269 VolUL=2381 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:39:37,561] [INFO] [2026-03-23T16:39:37.281054] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:37,561] [INFO] [2026-03-23T16:39:37.281054] UE 4/5 | ran_ue_id=4 | PRB=3100.56 ThpDl=2167.32 ThpUl=99.71 RlcDelay=246.04 VolDL=2142 VolUL=84 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:39:37,561] [INFO] [2026-03-23T16:39:37.281054] UE 5/5 | ran_ue_id=5 | PRB=1004.11 ThpDl=296.74 ThpUl=187.78 RlcDelay=242.82 VolDL=271 VolUL=159 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:39:46,575] [INFO] [2026-03-23T16:39:46.281382] UE 1/5 | ran_ue_id=1 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:46,576] [INFO] [2026-03-23T16:39:46.281382] UE 2/5 | ran_ue_id=2 | PRB=944.56 ThpDl=304.90 ThpUl=2444.60 RlcDelay=252.51 VolDL=268 VolUL=2384 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:39:46,576] [INFO] [2026-03-23T16:39:46.281382] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:46,576] [INFO] [2026-03-23T16:39:46.281382] UE 4/5 | ran_ue_id=4 | PRB=3073.44 ThpDl=2170.05 ThpUl=99.43 RlcDelay=294.74 VolDL=2145 VolUL=84 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:39:46,576] [INFO] [2026-03-23T16:39:46.281382] UE 5/5 | ran_ue_id=5 | PRB=954.56 ThpDl=296.47 ThpUl=187.43 RlcDelay=257.30 VolDL=271 VolUL=159 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:39:54,591] [INFO] [2026-03-23T16:39:54.281689] UE 1/5 | ran_ue_id=1 | PRB=4.38 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:54,591] [INFO] [2026-03-23T16:39:54.281689] UE 2/5 | ran_ue_id=2 | PRB=908.62 ThpDl=305.82 ThpUl=2439.22 RlcDelay=257.69 VolDL=268 VolUL=2384 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:39:54,591] [INFO] [2026-03-23T16:39:54.281689] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:39:54,591] [INFO] [2026-03-23T16:39:54.281689] UE 4/5 | ran_ue_id=4 | PRB=3067.62 ThpDl=2169.34 ThpUl=99.80 RlcDelay=265.84 VolDL=2144 VolUL=84 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:39:54,592] [INFO] [2026-03-23T16:39:54.281689] UE 5/5 | ran_ue_id=5 | PRB=945.88 ThpDl=296.97 ThpUl=188.42 RlcDelay=266.15 VolDL=272 VolUL=160 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:02,610] [INFO] [2026-03-23T16:40:02.283343] UE 1/5 | ran_ue_id=1 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:02,611] [INFO] [2026-03-23T16:40:02.283343] UE 2/5 | ran_ue_id=2 | PRB=948.50 ThpDl=305.47 ThpUl=2442.78 RlcDelay=258.12 VolDL=268 VolUL=2385 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:40:02,611] [INFO] [2026-03-23T16:40:02.283343] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:02,611] [INFO] [2026-03-23T16:40:02.283343] UE 4/5 | ran_ue_id=4 | PRB=3092.62 ThpDl=2170.38 ThpUl=99.55 RlcDelay=280.01 VolDL=2145 VolUL=84 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:02,611] [INFO] [2026-03-23T16:40:02.283343] UE 5/5 | ran_ue_id=5 | PRB=954.88 ThpDl=297.24 ThpUl=187.57 RlcDelay=276.44 VolDL=272 VolUL=160 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:11,624] [INFO] [2026-03-23T16:40:11.281224] UE 1/5 | ran_ue_id=1 | PRB=5.56 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:11,624] [INFO] [2026-03-23T16:40:11.281224] UE 2/5 | ran_ue_id=2 | PRB=933.22 ThpDl=305.12 ThpUl=2440.66 RlcDelay=255.12 VolDL=268 VolUL=2382 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:40:11,624] [INFO] [2026-03-23T16:40:11.281224] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:11,624] [INFO] [2026-03-23T16:40:11.281224] UE 4/5 | ran_ue_id=4 | PRB=3108.33 ThpDl=2168.33 ThpUl=99.30 RlcDelay=332.61 VolDL=2143 VolUL=84 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:11,624] [INFO] [2026-03-23T16:40:11.281224] UE 5/5 | ran_ue_id=5 | PRB=966.89 ThpDl=296.74 ThpUl=187.85 RlcDelay=287.19 VolDL=271 VolUL=160 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:19,642] [INFO] [2026-03-23T16:40:19.281273] UE 1/5 | ran_ue_id=1 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:19,642] [INFO] [2026-03-23T16:40:19.281273] UE 2/5 | ran_ue_id=2 | PRB=963.75 ThpDl=305.87 ThpUl=2442.43 RlcDelay=246.15 VolDL=268 VolUL=2385 | Load: Medium | PRB alloc: 9%
[2026-03-23 16:40:19,642] [INFO] [2026-03-23T16:40:19.281273] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:19,642] [INFO] [2026-03-23T16:40:19.281273] UE 4/5 | ran_ue_id=4 | PRB=3123.12 ThpDl=2170.39 ThpUl=99.69 RlcDelay=290.82 VolDL=2145 VolUL=84 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:19,642] [INFO] [2026-03-23T16:40:19.281273] UE 5/5 | ran_ue_id=5 | PRB=984.62 ThpDl=296.65 ThpUl=187.92 RlcDelay=278.81 VolDL=271 VolUL=160 | Load: Heavy  | PRB alloc: 9%
[2026-03-23 16:40:27,658] [INFO] [2026-03-23T16:40:27.281523] UE 1/5 | ran_ue_id=1 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 36%
[2026-03-23 16:40:27,658] [INFO] [2026-03-23T16:40:27.281523] UE 2/5 | ran_ue_id=2 | PRB=731.00 ThpDl=239.36 ThpUl=1909.68 RlcDelay=181.25 VolDL=210 VolUL=1865 | Load: Medium | PRB alloc: 9%
