[2026-03-24 09:28:00,355] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 09:28:00,782] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 09:28:00,783] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 09:28:00,784] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 09:28:00,785] [INFO] xApp KCL listening on port 4500
[2026-03-24 09:28:01,426] [INFO] Client connected: ('10.244.0.25', 52764) | NUM_UES=5 | T=8.0s
[2026-03-24 09:28:09,458] [INFO] [2026-03-24T09:28:08.591047] UE 1/5 | ran_ue_id=1 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 09:28:09,459] [INFO] [2026-03-24T09:28:08.591047] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 09:28:09,459] [INFO] [2026-03-24T09:28:08.591047] UE 3/5 | ran_ue_id=3 | PRB=5.56 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 09:28:09,459] [INFO] [2026-03-24T09:28:08.591047] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 09:28:09,459] [INFO] [2026-03-24T09:28:08.591047] UE 5/5 | ran_ue_id=5 | PRB=5.56 ThpDl=0.00 ThpUl=0.06 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-24 09:28:18,466] [INFO] [2026-03-24T09:28:17.593423] UE 1/5 | ran_ue_id=1 | PRB=1291.33 ThpDl=219.32 ThpUl=1848.34 RlcDelay=212.39 VolDL=192 VolUL=1809 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:28:18,466] [INFO] [2026-03-24T09:28:17.593423] UE 2/5 | ran_ue_id=2 | PRB=1426.78 ThpDl=253.71 ThpUl=158.81 RlcDelay=236.04 VolDL=232 VolUL=136 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:28:18,466] [INFO] [2026-03-24T09:28:17.593423] UE 3/5 | ran_ue_id=3 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:28:18,466] [INFO] [2026-03-24T09:28:17.593423] UE 4/5 | ran_ue_id=4 | PRB=5155.00 ThpDl=1150.75 ThpUl=6.29 RlcDelay=319.18 VolDL=1142 VolUL=5 | Load: Heavy  | PRB alloc: 12%
[2026-03-24 09:28:18,466] [INFO] [2026-03-24T09:28:17.593423] UE 5/5 | ran_ue_id=5 | PRB=2612.00 ThpDl=390.81 ThpUl=34.05 RlcDelay=405.24 VolDL=385 VolUL=28 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:28:27,482] [INFO] [2026-03-24T09:28:26.591957] UE 1/5 | ran_ue_id=1 | PRB=990.78 ThpDl=320.68 ThpUl=2701.87 RlcDelay=291.41 VolDL=281 VolUL=2646 | Load: Light  | PRB alloc: 12%
