[2026-03-24 13:22:00,458] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 13:22:00,891] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 13:22:00,891] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 13:22:00,893] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 13:22:00,893] [INFO] xApp KCL listening on port 4500
[2026-03-24 13:22:36,431] [INFO] Client connected: ('10.244.0.25', 37890) | NUM_UES=5 | T=16.0s
[2026-03-24 13:22:52,479] [INFO] [2026-03-24T13:22:51.494441] UE 1/5 | ran_ue_id=1 | PRB=213.73 ThpDl=4.75 ThpUl=4575.41 RlcDelay=0.00 VolDL=4 VolUL=4539 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:22:52,480] [INFO] [2026-03-24T13:22:51.494441] UE 2/5 | ran_ue_id=2 | PRB=12339.00 ThpDl=4586.68 ThpUl=4.85 RlcDelay=281.98 VolDL=4557 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:22:52,480] [INFO] [2026-03-24T13:22:51.494441] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:22:52,480] [INFO] [2026-03-24T13:22:51.494441] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:22:52,480] [INFO] [2026-03-24T13:22:51.494441] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:23:08,506] [INFO] [2026-03-24T13:23:07.494342] UE 1/5 | ran_ue_id=1 | PRB=261.25 ThpDl=5.28 ThpUl=8061.07 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:23:08,506] [INFO] [2026-03-24T13:23:07.494342] UE 2/5 | ran_ue_id=2 | PRB=10858.38 ThpDl=8080.38 ThpUl=5.48 RlcDelay=367.59 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 13:23:08,506] [INFO] [2026-03-24T13:23:07.494342] UE 3/5 | ran_ue_id=3 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:23:08,506] [INFO] [2026-03-24T13:23:07.494342] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.03 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:23:08,506] [INFO] [2026-03-24T13:23:07.494342] UE 5/5 | ran_ue_id=5 | PRB=4.69 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 13:23:24,524] [INFO] [2026-03-24T13:23:24.494665] UE 1/5 | ran_ue_id=1 | PRB=254.86 ThpDl=5.25 ThpUl=8061.76 RlcDelay=0.00 VolDL=4 VolUL=7997 | Load: Heavy  | PRB alloc: 7%
