[2026-03-24 14:01:17,983] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 14:01:18,424] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 14:01:18,424] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 14:01:18,427] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 14:01:18,427] [INFO] xApp KCL listening on port 4500
[2026-03-24 14:01:35,427] [INFO] Client connected: ('10.244.0.25', 60516) | NUM_UES=5 | T=32.0s
[2026-03-24 14:02:07,497] [INFO] [2026-03-24T14:02:06.983212] UE 1/5 | ran_ue_id=1 | PRB=82.67 ThpDl=1.86 ThpUl=1497.05 RlcDelay=0.00 VolDL=2 VolUL=1483 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:02:07,497] [INFO] [2026-03-24T14:02:06.983212] UE 2/5 | ran_ue_id=2 | PRB=5.50 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:02:07,497] [INFO] [2026-03-24T14:02:06.983212] UE 3/5 | ran_ue_id=3 | PRB=4808.33 ThpDl=1498.87 ThpUl=1.90 RlcDelay=99.83 VolDL=1489 VolUL=2 | Load: Heavy  | PRB alloc: 6%
[2026-03-24 14:02:07,497] [INFO] [2026-03-24T14:02:06.983212] UE 4/5 | ran_ue_id=4 | PRB=5.33 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:02:07,497] [INFO] [2026-03-24T14:02:06.983212] UE 5/5 | ran_ue_id=5 | PRB=5.17 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-24 14:02:39,554] [INFO] [2026-03-24T14:02:38.983465] UE 1/5 | ran_ue_id=1 | PRB=253.56 ThpDl=5.28 ThpUl=8060.21 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:02:39,554] [INFO] [2026-03-24T14:02:38.983465] UE 2/5 | ran_ue_id=2 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:02:39,554] [INFO] [2026-03-24T14:02:38.983465] UE 3/5 | ran_ue_id=3 | PRB=10789.06 ThpDl=8080.85 ThpUl=5.49 RlcDelay=356.67 VolDL=8032 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:02:39,554] [INFO] [2026-03-24T14:02:38.983465] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.02 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:02:39,555] [INFO] [2026-03-24T14:02:38.983465] UE 5/5 | ran_ue_id=5 | PRB=5.16 ThpDl=0.00 ThpUl=0.01 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:03:11,632] [INFO] [2026-03-24T14:03:10.983730] UE 1/5 | ran_ue_id=1 | PRB=257.97 ThpDl=5.27 ThpUl=8062.06 RlcDelay=0.00 VolDL=4 VolUL=7999 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:03:11,632] [INFO] [2026-03-24T14:03:10.983730] UE 2/5 | ran_ue_id=2 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:03:11,632] [INFO] [2026-03-24T14:03:10.983730] UE 3/5 | ran_ue_id=3 | PRB=10683.31 ThpDl=8079.89 ThpUl=5.51 RlcDelay=307.33 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:03:11,632] [INFO] [2026-03-24T14:03:10.983730] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:03:11,632] [INFO] [2026-03-24T14:03:10.983730] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:03:43,707] [INFO] [2026-03-24T14:03:42.982867] UE 1/5 | ran_ue_id=1 | PRB=257.75 ThpDl=5.25 ThpUl=8062.97 RlcDelay=0.00 VolDL=4 VolUL=8001 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:03:43,707] [INFO] [2026-03-24T14:03:42.982867] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
