[2026-03-24 12:32:18,579] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 12:32:19,010] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 12:32:19,010] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 12:32:19,013] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 12:32:19,013] [INFO] xApp KCL listening on port 4500
[2026-03-24 12:32:29,510] [INFO] Client connected: ('10.244.0.25', 33246) | NUM_UES=5 | T=8.0s
[2026-03-24 12:32:37,546] [INFO] [2026-03-24T12:32:37.291298] UE 1/5 | ran_ue_id=1 | PRB=128.78 ThpDl=3.16 ThpUl=18.77 RlcDelay=114.80 VolDL=3 VolUL=18 | Load: Medium | PRB alloc: 7%
[2026-03-24 12:32:37,546] [INFO] [2026-03-24T12:32:37.291298] UE 2/5 | ran_ue_id=2 | PRB=5.56 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:37,547] [INFO] [2026-03-24T12:32:37.291298] UE 3/5 | ran_ue_id=3 | PRB=640.78 ThpDl=18.14 ThpUl=3.15 RlcDelay=129.27 VolDL=18 VolUL=3 | Load: Medium | PRB alloc: 7%
[2026-03-24 12:32:37,547] [INFO] [2026-03-24T12:32:37.291298] UE 4/5 | ran_ue_id=4 | PRB=5.56 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:37,547] [INFO] [2026-03-24T12:32:37.291298] UE 5/5 | ran_ue_id=5 | PRB=6.11 ThpDl=0.00 ThpUl=0.06 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:46,548] [INFO] [2026-03-24T12:32:46.291000] UE 1/5 | ran_ue_id=1 | PRB=255.56 ThpDl=5.28 ThpUl=8174.40 RlcDelay=405.22 VolDL=4 VolUL=8105 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:32:46,548] [INFO] [2026-03-24T12:32:46.291000] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:46,548] [INFO] [2026-03-24T12:32:46.291000] UE 3/5 | ran_ue_id=3 | PRB=20523.67 ThpDl=8195.28 ThpUl=5.49 RlcDelay=441.71 VolDL=8137 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:32:46,549] [INFO] [2026-03-24T12:32:46.291000] UE 4/5 | ran_ue_id=4 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:46,549] [INFO] [2026-03-24T12:32:46.291000] UE 5/5 | ran_ue_id=5 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:55,563] [INFO] [2026-03-24T12:32:55.290824] UE 1/5 | ran_ue_id=1 | PRB=261.78 ThpDl=5.27 ThpUl=8064.59 RlcDelay=465.94 VolDL=4 VolUL=8005 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:32:55,563] [INFO] [2026-03-24T12:32:55.290824] UE 2/5 | ran_ue_id=2 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:55,563] [INFO] [2026-03-24T12:32:55.290824] UE 3/5 | ran_ue_id=3 | PRB=10736.89 ThpDl=8080.72 ThpUl=5.52 RlcDelay=341.59 VolDL=8037 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:32:55,563] [INFO] [2026-03-24T12:32:55.290824] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:32:55,563] [INFO] [2026-03-24T12:32:55.290824] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:04,574] [INFO] [2026-03-24T12:33:04.290931] UE 1/5 | ran_ue_id=1 | PRB=258.56 ThpDl=5.27 ThpUl=8057.83 RlcDelay=612.50 VolDL=4 VolUL=7997 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:04,574] [INFO] [2026-03-24T12:33:04.290931] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:04,574] [INFO] [2026-03-24T12:33:04.290931] UE 3/5 | ran_ue_id=3 | PRB=10762.89 ThpDl=8078.10 ThpUl=5.49 RlcDelay=370.87 VolDL=8029 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:04,574] [INFO] [2026-03-24T12:33:04.290931] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:04,575] [INFO] [2026-03-24T12:33:04.290931] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:12,595] [INFO] [2026-03-24T12:33:12.291611] UE 1/5 | ran_ue_id=1 | PRB=251.38 ThpDl=5.26 ThpUl=8064.15 RlcDelay=430.88 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:12,595] [INFO] [2026-03-24T12:33:12.291611] UE 2/5 | ran_ue_id=2 | PRB=5.62 ThpDl=0.00 ThpUl=0.06 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:12,596] [INFO] [2026-03-24T12:33:12.291611] UE 3/5 | ran_ue_id=3 | PRB=10726.88 ThpDl=8080.71 ThpUl=5.54 RlcDelay=344.46 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:12,596] [INFO] [2026-03-24T12:33:12.291611] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:12,596] [INFO] [2026-03-24T12:33:12.291611] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:21,609] [INFO] [2026-03-24T12:33:21.291657] UE 1/5 | ran_ue_id=1 | PRB=252.78 ThpDl=5.24 ThpUl=8061.15 RlcDelay=505.61 VolDL=4 VolUL=8001 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:21,609] [INFO] [2026-03-24T12:33:21.291657] UE 2/5 | ran_ue_id=2 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:21,609] [INFO] [2026-03-24T12:33:21.291657] UE 3/5 | ran_ue_id=3 | PRB=10426.56 ThpDl=8081.27 ThpUl=5.50 RlcDelay=291.72 VolDL=8033 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:21,609] [INFO] [2026-03-24T12:33:21.291657] UE 4/5 | ran_ue_id=4 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:21,609] [INFO] [2026-03-24T12:33:21.291657] UE 5/5 | ran_ue_id=5 | PRB=4.44 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:30,625] [INFO] [2026-03-24T12:33:30.291345] UE 1/5 | ran_ue_id=1 | PRB=255.33 ThpDl=5.25 ThpUl=8065.93 RlcDelay=438.00 VolDL=4 VolUL=8003 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:30,626] [INFO] [2026-03-24T12:33:30.291345] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:30,626] [INFO] [2026-03-24T12:33:30.291345] UE 3/5 | ran_ue_id=3 | PRB=10525.33 ThpDl=8083.13 ThpUl=5.54 RlcDelay=288.07 VolDL=8034 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:30,626] [INFO] [2026-03-24T12:33:30.291345] UE 4/5 | ran_ue_id=4 | PRB=5.56 ThpDl=0.00 ThpUl=0.05 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:30,626] [INFO] [2026-03-24T12:33:30.291345] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:39,645] [INFO] [2026-03-24T12:33:39.290951] UE 1/5 | ran_ue_id=1 | PRB=263.11 ThpDl=5.25 ThpUl=8042.61 RlcDelay=470.67 VolDL=4 VolUL=7980 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:39,645] [INFO] [2026-03-24T12:33:39.290951] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:39,645] [INFO] [2026-03-24T12:33:39.290951] UE 3/5 | ran_ue_id=3 | PRB=10513.00 ThpDl=8060.78 ThpUl=5.50 RlcDelay=309.38 VolDL=8012 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:39,645] [INFO] [2026-03-24T12:33:39.290951] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:39,645] [INFO] [2026-03-24T12:33:39.290951] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:48,659] [INFO] [2026-03-24T12:33:48.291536] UE 1/5 | ran_ue_id=1 | PRB=250.44 ThpDl=5.25 ThpUl=8085.44 RlcDelay=420.06 VolDL=4 VolUL=8022 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:48,660] [INFO] [2026-03-24T12:33:48.291536] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:48,660] [INFO] [2026-03-24T12:33:48.291536] UE 3/5 | ran_ue_id=3 | PRB=10677.11 ThpDl=8103.03 ThpUl=5.49 RlcDelay=412.95 VolDL=8054 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:48,660] [INFO] [2026-03-24T12:33:48.291536] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:48,660] [INFO] [2026-03-24T12:33:48.291536] UE 5/5 | ran_ue_id=5 | PRB=5.56 ThpDl=0.00 ThpUl=0.05 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:56,682] [INFO] [2026-03-24T12:33:56.291288] UE 1/5 | ran_ue_id=1 | PRB=266.00 ThpDl=5.34 ThpUl=8056.33 RlcDelay=449.38 VolDL=4 VolUL=7995 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:56,683] [INFO] [2026-03-24T12:33:56.291288] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:56,683] [INFO] [2026-03-24T12:33:56.291288] UE 3/5 | ran_ue_id=3 | PRB=11169.38 ThpDl=8076.18 ThpUl=5.51 RlcDelay=384.24 VolDL=8027 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 12:33:56,683] [INFO] [2026-03-24T12:33:56.291288] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 12:33:56,683] [INFO] [2026-03-24T12:33:56.291288] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
