timestamp,accuracy
"2026-01-03 11:01:39,232",1.0
"2026-01-03 11:01:40,232",0.5
"2026-01-03 11:01:41,233",0.666667
"2026-01-03 11:01:42,234",0.75
"2026-01-03 11:01:43,235",0.8
"2026-01-03 11:01:44,237",0.666667
"2026-01-03 11:01:45,237",0.714286
"2026-01-03 11:01:46,238",0.75
"2026-01-03 11:01:47,240",0.777778
"2026-01-03 11:01:48,242",0.8
"2026-01-03 11:01:49,242",0.818182
"2026-01-03 11:01:50,242",0.833333
"2026-01-03 11:01:51,244",0.846154
"2026-01-03 11:01:52,245",0.857143
"2026-01-03 11:01:53,246",0.866667
"2026-01-03 11:01:54,248",0.8125
"2026-01-03 11:01:55,249",0.823529
"2026-01-03 11:01:56,249",0.833333
"2026-01-03 11:01:57,250",0.842105
"2026-01-03 11:01:58,252",0.85
"2026-01-03 11:01:59,253",0.857143
"2026-01-03 11:02:00,259",0.863636
"2026-01-03 11:02:01,255",0.869565
"2026-01-03 11:02:02,256",0.833333
"2026-01-03 11:02:03,258",0.84
"2026-01-03 11:02:04,258",0.846154
"2026-01-03 11:02:05,260",0.814815
"2026-01-03 11:02:06,263",0.821429
"2026-01-03 11:02:07,261",0.827586
"2026-01-03 11:02:08,263",0.833333
"2026-01-03 11:02:09,263",0.83871
"2026-01-03 11:02:10,268",0.84375
"2026-01-03 11:02:11,266",0.848485
"2026-01-03 11:02:12,268",0.852941
"2026-01-03 11:02:13,268",0.857143
"2026-01-03 11:02:14,270",0.861111
"2026-01-03 11:02:15,271",0.864865
"2026-01-03 11:02:16,271",0.868421
"2026-01-03 11:02:17,273",0.871795
"2026-01-03 11:02:18,274",0.875
"2026-01-03 11:02:19,275",0.878049
"2026-01-03 11:02:20,275",0.880952
"2026-01-03 11:02:21,278",0.883721
"2026-01-03 11:02:22,278",0.886364
"2026-01-03 11:02:23,279",0.888889
"2026-01-03 11:02:24,280",0.891304
"2026-01-03 11:02:25,282",0.893617
"2026-01-03 11:02:26,283",0.895833
"2026-01-03 11:02:27,284",0.897959
"2026-01-03 11:02:28,285",0.9
"2026-01-03 11:02:29,286",0.901961
"2026-01-03 11:02:30,288",0.903846
"2026-01-03 11:02:31,288",0.90566
"2026-01-03 11:02:32,290",0.907407
"2026-01-03 11:02:33,429",0.909091
"2026-01-03 11:02:34,292",0.910714
"2026-01-03 11:02:35,294",0.912281
"2026-01-03 11:02:36,295",0.913793
"2026-01-03 11:02:37,296",0.915254
"2026-01-03 11:02:38,297",0.916667
"2026-01-03 11:02:39,298",0.918033
"2026-01-03 11:02:40,300",0.919355
"2026-01-03 11:02:41,301",0.920635
"2026-01-03 11:02:42,302",0.921875
"2026-01-03 11:02:43,303",0.923077
"2026-01-03 11:02:44,305",0.924242
"2026-01-03 11:02:45,305",0.925373
"2026-01-03 11:02:46,307",0.926471
"2026-01-03 11:02:47,308",0.927536
"2026-01-03 11:02:48,309",0.928571
"2026-01-03 11:02:49,310",0.929577
"2026-01-03 11:02:50,312",0.930556
"2026-01-03 11:02:51,313",0.931507
"2026-01-03 11:02:52,315",0.932432
"2026-01-03 11:02:53,314",0.933333
"2026-01-03 11:02:54,316",0.934211
"2026-01-03 11:02:55,317",0.935065
"2026-01-03 11:02:56,319",0.935897
"2026-01-03 11:02:57,320",0.936709
"2026-01-03 11:02:58,320",0.9375
"2026-01-03 11:02:59,322",0.938272
"2026-01-03 11:03:00,324",0.939024
"2026-01-03 11:03:01,326",0.939759
"2026-01-03 11:03:02,327",0.940476
"2026-01-03 11:03:03,328",0.941176
"2026-01-03 11:03:04,339",0.94186
"2026-01-03 11:03:05,330",0.942529
"2026-01-03 11:03:06,332",0.943182
"2026-01-03 11:03:07,333",0.94382
"2026-01-03 11:03:08,333",0.944444
"2026-01-03 11:03:09,337",0.945055
"2026-01-03 11:03:10,337",0.945652
"2026-01-03 11:03:11,342",0.946237
"2026-01-03 11:03:12,354",0.946809
"2026-01-03 11:03:13,340",0.947368
"2026-01-03 11:03:14,341",0.947917
"2026-01-03 11:03:15,342",0.948454
"2026-01-03 11:03:16,344",0.94898
"2026-01-03 11:03:17,348",0.949495
"2026-01-03 11:03:18,347",0.95
"2026-01-03 11:03:19,347",0.950495
"2026-01-03 11:03:20,349",0.95098
"2026-01-03 11:03:21,350",0.951456
"2026-01-03 11:03:22,351",0.951923
"2026-01-03 11:03:23,353",0.952381
"2026-01-03 11:03:24,354",0.95283
"2026-01-03 11:03:25,355",0.953271
"2026-01-03 11:03:26,357",0.953704
"2026-01-03 11:03:27,358",0.954128
"2026-01-03 11:03:28,359",0.954545
"2026-01-03 11:03:29,360",0.954955
"2026-01-03 11:03:30,362",0.955357
"2026-01-03 11:03:31,362",0.955752
"2026-01-03 11:03:32,365",0.95614
"2026-01-03 11:03:33,365",0.956522
"2026-01-03 11:03:34,370",0.956897
