timestamp,latency_ms
"2026-01-03 11:01:39,232",6.15
"2026-01-03 11:01:40,232",5.11
"2026-01-03 11:01:41,233",5.52
"2026-01-03 11:01:42,234",5.42
"2026-01-03 11:01:43,235",5.15
"2026-01-03 11:01:44,237",6.22
"2026-01-03 11:01:45,237",5.28
"2026-01-03 11:01:46,238",5.58
"2026-01-03 11:01:47,240",5.57
"2026-01-03 11:01:48,242",6.98
"2026-01-03 11:01:49,242",5.49
"2026-01-03 11:01:50,242",4.86
"2026-01-03 11:01:51,244",5.73
"2026-01-03 11:01:52,245",5.34
"2026-01-03 11:01:53,246",5.08
"2026-01-03 11:01:54,248",6.29
"2026-01-03 11:01:55,249",5.75
"2026-01-03 11:01:56,249",4.6
"2026-01-03 11:01:57,250",5.21
"2026-01-03 11:01:58,252",5.48
"2026-01-03 11:01:59,253",5.37
"2026-01-03 11:02:00,259",10.22
"2026-01-03 11:02:01,255",5.08
"2026-01-03 11:02:02,256",5.3
"2026-01-03 11:02:03,258",5.62
"2026-01-03 11:02:04,258",5.15
"2026-01-03 11:02:05,260",6.04
"2026-01-03 11:02:06,263",8.87
"2026-01-03 11:02:07,261",4.91
"2026-01-03 11:02:08,263",6.07
"2026-01-03 11:02:09,263",5.02
"2026-01-03 11:02:10,268",8.89
"2026-01-03 11:02:11,266",5.2
"2026-01-03 11:02:12,268",5.93
"2026-01-03 11:02:13,268",5.44
"2026-01-03 11:02:14,270",5.62
"2026-01-03 11:02:15,271",6.21
"2026-01-03 11:02:16,271",4.98
"2026-01-03 11:02:17,273",4.95
"2026-01-03 11:02:18,274",5.09
"2026-01-03 11:02:19,275",5.34
"2026-01-03 11:02:20,275",4.87
"2026-01-03 11:02:21,278",5.99
"2026-01-03 11:02:22,278",4.9
"2026-01-03 11:02:23,279",5.45
"2026-01-03 11:02:24,280",5.08
"2026-01-03 11:02:25,282",5.75
"2026-01-03 11:02:26,283",5.19
"2026-01-03 11:02:27,284",5.32
"2026-01-03 11:02:28,285",5.17
