timestamp,latency_ms
"2026-01-03 11:06:21,621",2.772
"2026-01-03 11:06:22,621",1.269
"2026-01-03 11:06:23,623",1.249
"2026-01-03 11:06:24,624",1.229
"2026-01-03 11:06:25,626",1.208
"2026-01-03 11:06:26,628",1.3
"2026-01-03 11:06:27,629",1.152
"2026-01-03 11:06:28,631",1.791
"2026-01-03 11:06:29,632",1.549
"2026-01-03 11:06:30,633",1.155
"2026-01-03 11:06:31,635",1.265
"2026-01-03 11:06:32,637",1.409
"2026-01-03 11:06:33,639",1.375
"2026-01-03 11:06:34,641",1.39
"2026-01-03 11:06:35,643",1.526
"2026-01-03 11:06:36,645",1.335
"2026-01-03 11:06:37,647",1.503
"2026-01-03 11:06:38,649",1.696
"2026-01-03 11:06:39,650",1.444
"2026-01-03 11:06:40,652",1.275
"2026-01-03 11:06:41,653",1.348
"2026-01-03 11:06:42,655",1.206
"2026-01-03 11:06:43,657",1.279
"2026-01-03 11:06:44,658",1.279
"2026-01-03 11:06:45,659",1.41
"2026-01-03 11:06:46,663",1.638
"2026-01-03 11:06:47,665",1.589
"2026-01-03 11:06:48,667",1.234
"2026-01-03 11:06:49,669",1.548
"2026-01-03 11:06:50,671",1.445
"2026-01-03 11:06:51,673",1.413
"2026-01-03 11:06:52,674",1.143
"2026-01-03 11:06:53,676",1.669
"2026-01-03 11:06:54,678",1.521
"2026-01-03 11:06:55,679",1.51
"2026-01-03 11:06:56,680",1.285
"2026-01-03 11:06:57,683",1.44
"2026-01-03 11:06:58,684",1.413
"2026-01-03 11:06:59,686",1.428
"2026-01-03 11:07:00,687",1.356
"2026-01-03 11:07:01,689",1.233
"2026-01-03 11:07:02,690",1.207
"2026-01-03 11:07:03,692",1.202
"2026-01-03 11:07:04,693",1.276
"2026-01-03 11:07:05,695",1.185
"2026-01-03 11:07:06,697",1.319
"2026-01-03 11:07:07,699",1.465
"2026-01-03 11:07:08,700",1.292
"2026-01-03 11:07:09,703",1.572
"2026-01-03 11:07:10,704",1.314
"2026-01-03 11:07:11,705",1.17
"2026-01-03 11:07:12,707",1.239
"2026-01-03 11:07:13,710",1.771
"2026-01-03 11:07:14,710",1.301
"2026-01-03 11:07:15,712",1.262
"2026-01-03 11:07:16,714",1.185
"2026-01-03 11:07:17,715",1.243
"2026-01-03 11:07:18,717",1.51
"2026-01-03 11:07:19,718",1.225
"2026-01-03 11:07:20,720",1.348
"2026-01-03 11:07:21,721",1.148
"2026-01-03 11:07:22,723",1.205
"2026-01-03 11:07:23,724",1.397
"2026-01-03 11:07:24,726",1.271
"2026-01-03 11:07:25,729",2.27
"2026-01-03 11:07:26,729",1.359
"2026-01-03 11:07:27,731",1.196
"2026-01-03 11:07:28,732",1.275
"2026-01-03 11:07:29,735",1.398
"2026-01-03 11:07:30,736",1.338
"2026-01-03 11:07:31,738",1.242
"2026-01-03 11:07:32,741",1.369
"2026-01-03 11:07:33,744",1.441
"2026-01-03 11:07:34,746",1.587
"2026-01-03 11:07:35,748",1.343
"2026-01-03 11:07:36,749",1.35
"2026-01-03 11:07:37,751",1.255
"2026-01-03 11:07:38,753",1.449
"2026-01-03 11:07:39,755",1.388
"2026-01-03 11:07:40,757",1.212
"2026-01-03 11:07:41,759",1.4
"2026-01-03 11:07:42,761",1.792
"2026-01-03 11:07:43,762",1.516
"2026-01-03 11:07:44,763",1.248
"2026-01-03 11:07:45,765",1.251
"2026-01-03 11:07:46,767",1.279
"2026-01-03 11:07:47,769",1.15
"2026-01-03 11:07:48,771",1.653
"2026-01-03 11:07:49,772",1.301
"2026-01-03 11:07:50,774",1.19
"2026-01-03 11:07:51,776",1.364
"2026-01-03 11:07:52,778",1.405
"2026-01-03 11:07:53,779",1.263
"2026-01-03 11:07:54,781",1.281
"2026-01-03 11:07:55,783",1.303
"2026-01-03 11:07:56,785",1.419
"2026-01-03 11:07:57,787",1.343
"2026-01-03 11:07:58,789",1.393
"2026-01-03 11:07:59,790",1.206
"2026-01-03 11:08:00,792",1.383
"2026-01-03 11:08:01,793",1.291
"2026-01-03 11:08:02,795",1.266
"2026-01-03 11:08:03,797",1.078
"2026-01-03 11:08:04,799",1.417
"2026-01-03 11:08:05,801",1.82
"2026-01-03 11:08:06,803",1.443
"2026-01-03 11:08:07,805",1.261
"2026-01-03 11:08:08,807",1.26
"2026-01-03 11:08:09,808",1.226
"2026-01-03 11:08:10,810",1.173
"2026-01-03 11:08:11,812",1.243
"2026-01-03 11:08:12,813",1.133
"2026-01-03 11:08:13,815",1.367
"2026-01-03 11:08:14,817",1.28
"2026-01-03 11:08:15,819",1.574
"2026-01-03 11:08:16,820",1.343
"2026-01-03 11:08:17,823",1.404
"2026-01-03 11:08:18,824",1.176
"2026-01-03 11:08:19,826",1.364
"2026-01-03 11:08:20,828",1.354
"2026-01-03 11:08:21,830",1.44
"2026-01-03 11:08:22,832",1.352
"2026-01-03 11:08:23,834",1.371
"2026-01-03 11:08:24,850",1.415
"2026-01-03 11:08:25,851",1.176
"2026-01-03 11:08:26,853",1.142
